Deal_Id,Deal_Name,Manager_name,Trustee_name,Issuer_name,MvCoverage,NavWithoutIncentive,Deal_closedDate,Reinvestment_endDate,Was,Intex_Asset_Was,Warf_Test_Value,Diversity_Test_Value,Cur_Deal_Balance,Collection_Acc_Principal_bal,Cur_Collat_Balance,DefaultedTot,Inv_value,WAS,WAC,BELOW70,BELOW80,BELOW90,WAPP_ORIGINAL,WAPP_OVERRIDE,WAPP_OVERRIDE2,COUPON,BELOW101,ABOVE100,MOODYSCAA1BELOW,SPCCCBELOW,CAA1ORCCCBELOW,MOODYS_RATING_B3_FV,SP_RATING_BMINUS_FV,BELOW70_ORIG,BELOW80_ORIG,BELOW90_ORIG,BELOW101_ORIG,ABOVE100_ORIG,WTD_AVG_COVID_SCORE,ABOVE100_5_ORIG,ABOVE99_ORIG,WTD_AVG_ENERGY_RATING,PCT_FIXED,PCT_LOANPART,PCT_COV_LITE,PCT_SENIOR_SEC,WAL_LIMIT,PCT_CCC_OR_LESS,PCT_FI_CCC_OR_LESS,PCT_CAA1_OR_LESS,WAS_ALL_ASSET,WAC_FIXED_ASSET,WAC_FLOATING_ASSET,DEAL_SEN_MGT_FEES,DEAL_SUB_MGT_FEES,DEAL_INC_MGT_FEES,DEAL_INC_MGT_FEE_IRR_THRESHOLD,DEAL_INC_MGT_FEE_IRR_BALANCES,DEAL_INC_MGT_FEE_EXCESS_PCTS,DEAL_INC_MGT_FEE_IRR_ORIG_PX,DEAL_LAST_REFI_DATE,WASFL_ALL_ASSET,DEAL_INT_DIV_TEST_ACTUAL,DEAL_INT_DIV_TEST_THRESHOLD,WAL,COLLAT_TYPE,NON_CALL_DATE,YEAR2023,YEAR2024,YEAR2025,YEAR2026,YEAR2027,YEAR2028,YEAR2029,YEAR2030,YEAR2031,YEAR2032,DEFAULTED_SEC_BALANCE,EQUITYNAV90,RECOVERY_RATE_FITCH,RECOVERY_RATE_MOODY,RECOVERY_RATE_SP,ORIG_COLLAT_BALANCE,DEAL_COLLAT_FACTOR,AMENDED_COLLAT_BALANCE,FACTORS_YYYYMMDD,FITCH_RATING_BMINUS_FV,OVERRIDEPERCENT,WARF_TEST_TRIGGER,DIVERSITY_TEST_TRIGGER,FIRST_PAY_DATE,NEXT_PAY_DATE,SP_CC_PER,MOODYS_CC_PER,FITCH_CC_PER,DERIVED_CC_PER,DEFAULTED_WAVG,EQUITYNAV95,UBERSCORE,CONVICTION,PCTSCORE,RANKUB,RANKCONV
ABCVE1C,AB CarVal Euro CLO I-C,CarVal,Deutsche Trustee Company,AB CarVal Euro CLO,0.7634274293532851584213451918,0.9542842866916064480266814897,20/12/2023,25/07/2028,4.117898,4.23,0,0,330080000,-7754384.47,338622761.70,0,336189533.105164,4.117898,7.613158,0,0,0.0176009301030989,98.6814857428798768,99.2814338357574148,99.5369069146541073,5.4750,1,0.0348207923791202,0,0.0146477910,0.0146477910,0,0.2791542730,0,0.0116946525984228,0.0279036929253182,0.9970468612476620,0.4084563825113945,0.187524,0.0162422631378592,0.7492627062819209,3.895368,5.74,0,0,100,8,1.50,2.55,,4.1420,4.535556,7.801631,0.100001,0.200001,0,12,34967559.22,20,95,,4.019877,112.50,108.21,4.65,High-Yield Loans,20/06/2025,,,,4.1343942533,4.4559172349,40.5564265469,27.6456577107,7.5148467198,15.6927575344,,0,97.90675090,95,,87.50,330000000,1.026130,,12/08/2024,0.2193907520,85.93,,,25/07/2024,25/10/2024,86.590550,0,83.632540,86.349180,0,93.59782930,3.173250,3.284290,0.741620,0.198050,0.280840
ABCVE2C,AB CarVal Euro CLO II-C,CarVal,Deutsche Trustee Company,AB CarVal Euro CLO,0.1415371748571428571428571429,0.1769214685714285714285714286,30/08/2024,15/02/2029,4.194162,0,0,0,360500000,0,350000000,0,331692251.40,4.194162,7.710798,0,0,0.0060088069942441,99.3078417483245260,99.6537360074451282,94.6218032571428571,4.908001,0.9969955965028779,0.0105154122399272,0,0,0,0,0.2342857140,0,0,0,0.9834757807658286,0.4511111850928781,0.297143,0.0255374297255376,0.8017093691899437,3.784906,,,,,,,,,4.207340,4.501667,7.854490,0.100001,0.200001,0,12,29681995,20,84.8057,,0.192929,107.527001,103.530001,,High-Yield Loans,02/03/2026,,,,,,,,,,,,70,95,,60,350000000,1,,01/08/2024,0.2164285710,88.39,,,15/02/2025,15/02/2025,0,0,92.9430,92.9430,0,66.71611430,3.212250,3.341130,0.6470,0.334420,0.405840
ACCUE1,Accunia European CLO I,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.2597524250591634980988593156,0.3246905313239543726235741445,04/08/2016,15/05/2021,4.054302,3.98,3228,33,277096672.40,-2718208.33,252727630.75,0.733565,242517538.775023,4.054302,7.289481,0.0240886632060511,0.0577217090854242,0.1301316074637399,95.3797767388819633,95.9600412745926080,96.7320531977593036,4.6350,1,0.0226622096404866,0.0978162950,0,0.0978162950,0.2966614090,0,0.0240886632060511,0.0418943933774839,0.1266495980079930,1,0.2133632795115340,0.918603,0,0.5067614520024143,3.445448,4.40,0,3.90,98.40,1.21,,3.40,8.20,3.932154,2.551893,7.708738,0.15,0.35,0,12,24818709.53,20,100,15/05/2019,3.566964,105.58,104.99,3.52,High-Yield Loans,15/05/2020,,2.6629458679,3.2662366657,19.3457687887,20.0040785726,23.3815196639,25.9185944155,4.8273316866,0.5935243390,,12678603.85,37.58951630,80,50,,410000000,0.616409,,30/08/2024,0.2534270740,66.35,3146,43,15/01/2017,15/10/2024,0,78.068440,76.228770,76.732670,73.356480,32.28525090,3.062970,3.013610,0.563160,0.0276,0.019480
ACCUE2,Accunia European CLO II,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.1188314477508019323671497585,0.1485393096885024154589371981,24/10/2017,15/10/2021,4.229887,4.23,3314,27,188601506.77,10280645.24,150052151,0.839070,143070388.951105,4.229887,7.443698,0.0457707533962642,0.0724281519963016,0.1540304477208061,95.3269550489951990,95.3471096525633944,96.2906737662161204,4.615001,1,0.0141291090189037,0.1192440610,0.13094266,0.1558979840,0.2866527190,0.3098086690,0.0257777044462362,0.0457707533962642,0.1273730491207687,1,0.1876021475360257,0.969820,0,0.5087106863932927,3.516954,3.10,0,1.90,96.30,1.15,10.50,,13.20,4.062611,1.781098,7.858868,0.15,0.35,0,12,47299796.95,20,100,,3.540721,103.66,0,3.58,High-Yield Loans,15/10/2019,,4.9316187410,5.2516593448,17.1039006099,18.3951488973,17.5733043707,30.2546243472,6.4897436892,,,5400000,21.15002220,64,50,65,375000000,0.400140,,30/08/2024,0,69.86,2955,44,15/04/2018,15/10/2024,80.6106,78.236850,0,82.471120,83.9070,16.78932730,3.103510,2.918580,0.569760,0.053570,0.011360
ACCUE3,Accunia European CLO III,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.3415149844190241286863270777,0.4268937305237801608579088472,02/08/2018,02/08/2022,4.068470,3.99,3195,39,297192294.79,9377721.80,274814004.86,0.801254,266437709.138537,4.068470,7.323160,0.0181941237039472,0.0454853092598681,0.1040320878645340,96.3473561666254595,96.9520127897895225,97.5607844349565075,4.5580,1,0.0056106792329798,0.07928808,0,0.07928808,0.3072998180,0,0.0072776494815789,0.0309300102967103,0.0938433785903236,1,0.1862272862551958,0.741348,0,0.5464902070275080,3.386028,5.10,0,12.10,97.40,2.43,,3.20,6.90,3.973271,2.918690,7.720761,0.15,0.35,0,12,26530418.01,20,100,,3.722723,106.840001,103.870001,3.66,High-Yield Loans,02/08/2020,,1.8921888652,2.5417104174,17.0547353669,16.4353507249,30.5444586140,25.1636127152,4.9124134001,1.4555298963,,8700000,51.28342770,90,60,,350000000,0.785183,,30/08/2024,0.2115477110,75.57,3081,48,20/01/2019,20/10/2024,0,80.060620,78.860910,81.730750,80.125390,42.37042170,3.073890,2.979070,0.584470,0.032470,0.014610
ACCUE4,Accunia European CLO IV,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.3720364496481984496124031008,0.465045562060248062015503876,10/03/2020,20/10/2024,4.025076,4.09,3054,51,404850000,-17727433.68,417432178.87,0.792888,405325153.056443,4.025076,7.392540,0.0155713917829614,0.0443185766130440,0.0993817841794119,96.4697704584069216,97.0996424274779102,97.5162868451770875,4.668001,1,0.0153255232198865,0.0720240470,0.0634257640,0.0866371990,0.2760953660,0.2665589680,0.0083845955754408,0.0395273791413636,0.0957883860756516,0.9944901229075675,0.2260739137683720,0.500584,0.0055098770924325,0.6026049938482070,3.531686,7.20,0,13.30,96.50,4.03,3.70,,6.40,4.100651,4.818456,7.663553,0.15,0.35,0,10,15308048.09,20,95,,3.820426,104.760001,103.85,4.03,High-Yield Loans,20/04/2022,,2.0434457217,2.4310478956,9.0297696651,11.5068024056,34.3188559511,29.0106994549,6.2764685466,4.1851109915,1.1977993679,12000000,58.12464690,80,60,70,400000000,1.043580,,30/08/2024,0,77.66,3165,50,20/10/2020,20/10/2024,81.382830,80.3132,0,85.502390,79.288810,45.10645070,3.136940,3.154310,0.661860,0.108770,0.074680
ADAGIO10,Adagio X EUR CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,0.1761721433116619718309859155,0.2202151791395774647887323944,18/11/2022,20/07/2028,3.974256,4.05,2926,64,332260000,-9682035.22,339874072.99,0.132250,330869090.763782,3.974256,7.373546,0.0244460203654442,0.0320032379766727,0.0511279683299387,96.5254520683518996,97.3504945079276610,98.2560786044496862,5.4380,1,0.0599287237499852,0.0526994770,0.0334743710,0.0674108080,0.3027530370,0.2540137260,0.0244460203654442,0.0467145690176466,0.0746660979954969,0.9990172830864629,0.3552298999092888,0.188411,0.0112382580889375,0.6314410962330581,3.590029,8.04,0,16.14,96.95,6.26,3.47,4.43,,3.962405,3.821305,7.671896,0.100001,0.200001,0,12,11649678.14,20,100,21/11/2023,3.852625,0,0,4.48,High-Yield Loans,21/05/2025,,,,4.3289078954,10.9751019376,37.1542815370,24.8967516544,8.1498087884,14.4951481873,,2500000,34.46482320,98,,60,330000000,1.029922,,20/08/2024,0.2135477370,76.10,,,20/07/2023,20/10/2024,80.7219,70.893170,83.630690,85.017130,13.2250,11.727936,3.207380,3.273510,0.697430,0.300320,0.262990
ADAGIO12,Adagio XII EUR CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,-0.8959475738396624472573839662,-0.8959475738396624472573839662,29/08/2024,20/04/2029,4.0245,0,0,0,352950000,0,350000000,0,306016042.50,4.0245,7.422495,0,0,0.0129554655870445,98.3243904485829960,99.1145076923076923,87.771865,4.621001,1,0,0,0.0157142860,0.0157142860,0,0.2414285710,0,0,0.0259109311740891,1,0.3490429149797571,0.260569,0.0080971659919028,0.6647773279352227,3.581710,,,,,,,,,3.994214,3.591837,7.710824,0.15,0.35,0,12,23700000,20,100,,3.965336,106.9520,102.950001,,High-Yield Loans,28/02/2026,,,,,,,,,,,,92.24746840,100,,60,350000000,1,,01/08/2024,0.2071428570,82.14,,,20/04/2025,20/04/2025,95.330360,0,92.981670,94.501410,0,79.551730,3.2315,3.269410,0.653290,0.441560,0.251620
ADAGIO4,Adagio IV CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,0.1950738332019890310786106033,0.2438422915024862888482632541,08/09/2015,15/07/2025,3.906548,3.89,2937,68,426900000,-7990263.50,408168502.74,0.150593,393528436.845186,3.906548,7.359978,0.0304922221740563,0.0483392438846958,0.0853015113274882,95.6900109106377883,96.4132298813547594,97.3695778534478449,4.5050,1,0.0524413077106901,0.0817998810,0.0621493080,0.0954484670,0.2254741020,0.2358145120,0.0304922221740563,0.0544357703763176,0.1027779537577947,0.9991841604686187,0.3616235936118327,0.334705,0.0152280781791713,0.6385458953358337,3.657755,7.73,0,16.45,95.34,5.16,4.94,,7.24,3.894907,3.750641,7.651202,0.15,0.25,0,12,39828219.30,20,100,15/04/2021,3.720504,106.05,103.50,4.46,High-Yield Loans,15/10/2022,,,0.4899937125,4.6613356009,11.4662836465,36.2630273420,23.6613306224,9.1879604301,14.2700686454,,5836544.03,27.73026790,98,60,70,350000000,1.166197,400000000,20/08/2024,0,73.84,3118,60,15/04/2016,15/10/2024,62.711880,70.176370,0,82.184630,15.059260,21.49805010,3.242380,3.335630,0.652620,0.506490,0.386360
ADAGIO5,Adagio V CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,0.1825865800407407407407407407,0.2282332250509259259259259259,15/09/2016,15/01/2023,3.778502,3.77,3062,53,354444387.19,32593681.52,303047210.41,0.193966,292677921.576925,3.778502,7.331271,0.0277284926946904,0.0365783527094768,0.0688693623734848,95.7417388302885121,96.5783255962095361,97.3697957892742973,4.405001,1,0.0240460426616075,0.1013940390,0,0.1013940390,0.28896805,0,0.0277284926946904,0.0440029384595186,0.0877516421749002,1,0.2378888716133224,0.673266,0.0057602029982006,0.6059133387882882,3.518025,4.81,0,7.72,97.51,3.66,,4.86,5.86,3.783292,3.869959,7.522601,0.100001,0.35,0,12,43839498.81,20,95,29/03/2021,3.794556,104.38,103.97,3.69,High-Yield Loans,15/10/2020,,,1.6141195008,6.4064170245,24.8279565148,41.0572890513,22.9333418301,3.1608760784,,,5357009.43,26.82358920,100,60,,350000000,0.865849,,20/08/2024,0.22821447,76.79,3032,54,15/04/2017,15/10/2024,0,80.886240,71.332110,85.1799,19.396640,20.15621440,3.194110,3.229110,0.630970,0.25,0.178570
