Deal_Id,Deal_Name,Manager_name,Trustee_name,Issuer_name,MvCoverage,NavWithoutIncentive,Deal_closedDate,Reinvestment_endDate,Was,Intex_Asset_Was,Warf_Test_Value,Diversity_Test_Value,Cur_Deal_Balance,Collection_Acc_Principal_bal,Cur_Collat_Balance,DefaultedTot,Inv_value,WAS,WAC,BELOW70,BELOW80,BELOW90,WAPP_ORIGINAL,WAPP_OVERRIDE,WAPP_OVERRIDE2,COUPON,BELOW101,ABOVE100,MOODYSCAA1BELOW,SPCCCBELOW,CAA1ORCCCBELOW,MOODYS_RATING_B3_FV,SP_RATING_BMINUS_FV,BELOW70_ORIG,BELOW80_ORIG,BELOW90_ORIG,BELOW101_ORIG,ABOVE100_ORIG,WTD_AVG_COVID_SCORE,ABOVE100_5_ORIG,ABOVE99_ORIG,WTD_AVG_ENERGY_RATING,PCT_FIXED,PCT_LOANPART,PCT_COV_LITE,PCT_SENIOR_SEC,WAL_LIMIT,PCT_CCC_OR_LESS,PCT_FI_CCC_OR_LESS,PCT_CAA1_OR_LESS,WAS_ALL_ASSET,WAC_FIXED_ASSET,WAC_FLOATING_ASSET,DEAL_SEN_MGT_FEES,DEAL_SUB_MGT_FEES,DEAL_INC_MGT_FEES,DEAL_INC_MGT_FEE_IRR_THRESHOLD,DEAL_INC_MGT_FEE_IRR_BALANCES,DEAL_INC_MGT_FEE_EXCESS_PCTS,DEAL_INC_MGT_FEE_IRR_ORIG_PX,DEAL_LAST_REFI_DATE,WASFL_ALL_ASSET,DEAL_INT_DIV_TEST_ACTUAL,DEAL_INT_DIV_TEST_THRESHOLD,WAL,COLLAT_TYPE,NON_CALL_DATE,YEAR2023,YEAR2024,YEAR2025,YEAR2026,YEAR2027,YEAR2028,YEAR2029,YEAR2030,YEAR2031,YEAR2032,DEFAULTED_SEC_BALANCE,EQUITYNAV90,RECOVERY_RATE_FITCH,RECOVERY_RATE_MOODY,RECOVERY_RATE_SP,ORIG_COLLAT_BALANCE,DEAL_COLLAT_FACTOR,AMENDED_COLLAT_BALANCE,FACTORS_YYYYMMDD,FITCH_RATING_BMINUS_FV,OVERRIDEPERCENT,WARF_TEST_TRIGGER,DIVERSITY_TEST_TRIGGER,FIRST_PAY_DATE,NEXT_PAY_DATE,SP_CC_PER,MOODYS_CC_PER,FITCH_CC_PER,DERIVED_CC_PER,DEFAULTED_WAVG,EQUITYNAV95,UBERSCORE,CONVICTION,PCTSCORE,RANKUB,RANKCONV
ABCVE1C,AB CarVal Euro CLO I-C,CarVal,Deutsche Trustee Company,AB CarVal Euro CLO,0.7641739609986881600889382991,0.9552174512483602001111728738,20/12/2023,25/07/2028,4.117898,4.23,0,0,330080000,-7754384.47,338622761.70,0,336223108.365916,4.117898,7.613158,0,0,0.0176009301030989,98.6896660707953526,99.2913490758999973,99.5313034108761154,5.4750,1,0.0313392341871034,0,0.0146477910,0.0146477910,0,0.2791542730,0,0.0116946525984228,0.0367631091823323,0.9970468612476620,0.3724902980436592,0.187524,0.0161969465149513,0.7551689838161284,3.895368,5.74,0,0,100,8,1.50,2.55,,4.1420,4.535556,7.801631,0.100001,0.200001,0,12,34967559.22,20,95,,4.019877,112.50,108.21,4.65,High-Yield Loans,20/06/2025,,,,4.1343942533,4.4559172349,40.5564265469,27.6456577107,7.5148467198,15.6927575344,,0,96.86717780,95,,87.50,330000000,1.026130,,12/08/2024,0.2193907520,85.93,,,25/07/2024,25/10/2024,87.312210,0,83.219130,86.4230,0,94.35603270,3.171210,3.269130,0.750480,0.188220,0.258590
ABCVE2C,AB CarVal Euro CLO II-C,CarVal,Deutsche Trustee Company,AB CarVal Euro CLO,0.1399492937142857142857142857,0.1749366171428571428571428571,30/08/2024,15/02/2029,4.194162,0,0,0,360500000,0,350000000,0,331622781.60,4.194162,7.710798,0,0,0.0060088069942441,99.2847359926574542,99.6328644764386911,94.5967490285714286,4.908001,0.9969955965028779,0.0060088069942441,0,0,0,0,0.2342857140,0,0,0.0060088069942441,0.9924889912571948,0.4279772781650382,0.297143,0.0345506402169038,0.7926961586985775,3.784906,,,,,,,,,4.207340,4.501667,7.854490,0.100001,0.200001,0,12,29681995,20,84.8057,,0.192929,107.527001,103.530001,,High-Yield Loans,02/03/2026,,,,,,,,,,,,69.35177140,95,,60,350000000,1,,01/08/2024,0.2164285710,88.39,,,15/02/2025,15/02/2025,0,0,93.0630,93.0630,0,66.94861430,3.212250,3.341130,0.6470,0.328970,0.405890
ACCUE1,Accunia European CLO I,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.2579413837718486329893174,0.32242672971481079123664675,04/08/2016,15/05/2021,4.058848,3.98,3179,34,277096672.40,-6947097.46,256815130.75,0.729169,246621398.142150,4.058848,7.361531,0.0237052651929855,0.0568030035356474,0.1514235268242660,95.6034108535677857,96.0307118275195318,96.8209511371662824,4.6350,1,0.0223015152311075,0.0962594390,0,0.0962594390,0.2919397110,0,0.0237052651929855,0.0412275972567477,0.1363153827337333,1,0.2145144120952461,0.950708,0,0.5048889477085454,3.474082,4.40,0,3.90,98.40,1.29,,3.40,8.20,3.938281,2.551893,7.7798,0.15,0.35,0,12,24818709.53,20,100,15/05/2019,3.476360,105.640001,104.99,3.54,High-Yield Loans,15/05/2020,,2.6205621064,4.1020576277,20.5953998721,19.6856912918,22.7397187967,25.5060710008,4.7504993044,,,12678603.85,36.86234310,80,50,,410000000,0.626378,,31/07/2024,0.2124019090,70.27,3153,43,15/01/2017,15/10/2024,0,77.780180,76.038280,76.494640,72.916920,33.26520440,3.064610,3.007670,0.564270,0.021280,0.022910
ACCUE2,Accunia European CLO II,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.1180223066503768115942028986,0.1475278833129710144927536232,24/10/2017,15/10/2021,4.245677,4.25,3282,28,188601506.77,5151422.72,155139651,0.838260,148157738.419158,4.245677,7.557974,0.0442697914796779,0.0700530130752969,0.1683167380594404,95.5697441221407028,95.4995950197154949,96.4230672402376360,4.615001,1,0.0136657726527953,0.1153336860,0.1266486530,0.1507856160,0.2772525070,0.26005344,0.0249323752829636,0.0442697914796779,0.1480124510528904,1,0.2333674838549173,1.015366,0,0.5377131648310850,3.547367,3.10,0,1.90,96.30,1.23,10.50,,13.20,4.082844,1.781098,7.966650,0.15,0.35,0,12,47299796.95,20,100,,3.378697,103.91,0,3.60,High-Yield Loans,15/10/2019,,4.7698959952,5.0794414962,19.1213339587,17.7919161363,17.6980037231,29.2624833931,6.2769252975,,,5400000,20.23331250,64,50,65,375000000,0.413707,,31/07/2024,0,73.17,2960,44,15/04/2018,15/10/2024,80.516110,78.089280,0,82.363660,83.8260,16.99966510,3.103310,2.9121,0.570970,0.050740,0.016370
ACCUE3,Accunia European CLO III,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.3390473905424557640750670241,0.4238092381780697050938337802,02/08/2018,02/08/2022,4.077405,4,3155,40,297192294.79,5135107.51,278901504.86,0.798050,270565271.864042,4.077405,7.389092,0.0179274758754344,0.0448186896885860,0.1132639091203791,96.6002386600220512,97.0110476800099973,97.6257735650143168,4.5580,1,0.0055284507366641,0.0781260560,0,0.0781260560,0.3027961210,0,0.0071709903501738,0.0304767089882385,0.0989219284200315,1,0.1824431747886841,0.773508,0,0.5411253068919709,3.412383,5.10,0,12.10,97.40,2.51,,3.20,6.90,3.982872,2.918690,7.786205,0.15,0.35,0,12,26530418.01,20,100,,3.561984,106.780001,103.870001,3.69,High-Yield Loans,02/08/2020,,1.8644574910,3.7370510658,18.2389841552,16.1944789659,28.8955896995,24.7948220662,4.8404184864,1.43419807,,8700000,50.53102490,90,60,,350000000,0.796862,,31/07/2024,0.2084473290,77.54,3100,48,20/01/2019,20/10/2024,0,79.843240,80.317270,81.617460,79.805020,44.17650630,3.071190,2.986310,0.572630,0.024550,0.019640
ACCUE4,Accunia European CLO IV,Accunia Credit Management,BNY Mellon Corporate Trustee Services,Accunia European CLO,0.3691633044610976744186046512,0.461454130576372093023255814,10/03/2020,20/10/2024,4.037501,4.05,3056,51,404850000,-12906881.29,412489329.05,0.789116,400388777.001088,4.037501,7.478239,0.0157579834003708,0.0448496450625939,0.1272400302593961,96.5549759408677726,97.0664569486273356,97.5017963014591104,4.668001,1,0.0155091686001519,0.0728871090,0.0641857930,0.08767537,0.27940381,0.2636923750,0.0084850679848151,0.0400010347855567,0.1223914199823589,0.9944240981814072,0.2416244603697827,0.499309,0.0055759018185928,0.5872972915637174,3.527378,6.40,0,12.50,97.30,4.11,3.70,,6.40,4.102363,4.766519,7.743068,0.15,0.35,0,10,15308048.09,20,95,,3.728832,104.72,103.85,4.09,High-Yield Loans,20/04/2022,,1.9952031290,2.6479937542,10.4155819883,11.6204450938,32.6845382959,28.8371447727,6.3516793199,4.2352610770,1.2121525693,12000000,54.69955790,80,60,70,400000000,1.031224,,31/07/2024,0,77.47,3205,50,20/10/2020,20/10/2024,81.302940,80.109860,0,85.434450,78.911630,47.59416310,3.138060,3.169520,0.651330,0.109660,0.094930
ADAGIO10,Adagio X EUR CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,0.1762209578780845070422535211,0.2202761973476056338028169014,18/11/2022,20/07/2028,3.980945,4.07,2903,64,332260000,-10311887.59,340489835.45,0.145230,331499809.592336,3.980945,7.421347,0.0244018107002201,0.0319453613809780,0.0613148137371218,96.5452877357344912,97.3596786382422976,98.2806222710023340,5.4380,1,0.0283006292310157,0.0496560710,0.0334138340,0.0643407970,0.2940621720,0.2535431950,0.0302757011714489,0.0466300875590499,0.0804049577686152,0.9990190602913048,0.3076218235459810,0.218810,0.0138694124121466,0.6277133591301749,3.595992,8.04,0,13.46,96.58,6.37,3.47,3.67,,3.968598,3.821305,7.723119,0.100001,0.200001,0,12,11649678.14,20,100,21/11/2023,3.711617,0,0,4.52,High-Yield Loans,21/05/2025,,,,5.3449268040,10.9552538979,38.1150203143,24.6719785743,8.1393015693,12.7735188401,,2500000,32.374732,98,,60,330000000,1.031788,,10/07/2024,0.2123494030,82.61,,,20/07/2023,20/10/2024,80.360840,69.326540,81.904880,84.497210,14.5230,15.05141570,3.204590,3.246340,0.714140,0.288050,0.220950
ADAGIO12,Adagio XII EUR CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,-0.9001953586497890295358649789,-0.9001953586497890295358649789,29/08/2024,20/04/2029,4.0245,0,0,0,352950000,0,350000000,0,305915370,4.0245,7.422495,0,0,0.0226720647773279,98.3296686574898785,99.0819012145748988,87.748940,4.621001,1,0,0,0.0157142860,0.0157142860,0,0.2414285710,0,0,0.0356275303643725,1,0.3166542510121457,0.260569,0.0129554655870445,0.6647773279352227,3.581710,,,,,,,,,3.994214,3.591837,7.710824,0.15,0.35,0,12,23700000,20,100,,3.965336,106.9520,102.950001,,High-Yield Loans,28/02/2026,,,,,,,,,,,,90.59337550,100,,60,350000000,1,,01/08/2024,0.2071428570,82.14,,,20/04/2025,20/04/2025,95.4850,0,93.941330,94.940180,0,81.30191980,3.2315,3.269410,0.653290,0.443540,0.260230
ADAGIO4,Adagio IV CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,0.1947148059008994515539305302,0.2433935073761243144424131627,08/09/2015,15/07/2025,3.906548,3.89,2937,68,426900000,-7990263.50,408168502.74,0.158772,393503888.353474,3.906548,7.359978,0.0304922221740563,0.0483392438846958,0.0914264327342545,95.7049391853259784,96.4072155760285993,97.3900006644889750,4.5050,1,0.0426851828914838,0.0817998810,0.0621493080,0.0954484670,0.2254741020,0.2358145120,0.0360046514401461,0.0599481996424073,0.1063712409667645,0.9991841604686187,0.3162427102128042,0.334705,0.0197284301849459,0.6402202518954709,3.657755,7.73,0,16.45,95.34,5.16,4.94,,7.24,3.894907,3.750641,7.651202,0.15,0.25,0,12,39828219.30,20,100,15/04/2021,3.720504,106.05,103.50,4.46,High-Yield Loans,15/10/2022,,,0.4899937125,4.6613356009,11.4662836465,36.2630273420,23.6613306224,9.1879604301,14.2700686454,,5836544.03,27.25879250,98,60,70,350000000,1.166197,400000000,20/08/2024,0,73.84,3118,60,15/04/2016,15/10/2024,62.656230,69.964410,0,81.864830,15.877250,22.41081170,3.242380,3.335630,0.652620,0.500820,0.394440
ADAGIO5,Adagio V CLO,AXA Investment Managers,BNY Mellon Corporate Trustee Services,Adagio CLO,0.1827420146323597883597883598,0.2284275182904497354497354497,15/09/2016,15/01/2023,3.778502,3.77,3062,53,354444387.19,32593681.52,303047210.41,0.200344,292685265.861379,3.778502,7.331271,0.0277284926946904,0.0365783527094768,0.0747357020358589,95.7812984152211388,96.5807490733931947,97.3881101682303059,4.405001,1,0.0240460426616075,0.1013940390,0,0.1013940390,0.28896805,0,0.0351530784447322,0.0506025702373335,0.0905748183026147,1,0.2113253537076174,0.673266,0.0100517974604642,0.5919694014582498,3.518025,4.81,0,7.72,97.51,3.66,,4.86,5.86,3.783292,3.869959,7.522601,0.100001,0.35,0,12,43839498.81,20,95,29/03/2021,3.794556,104.38,103.97,3.69,High-Yield Loans,15/10/2020,,,1.6141195008,6.4064170245,24.8279565148,41.0572890513,22.9333418301,3.1608760784,,,5357009.43,26.47705340,100,60,,350000000,0.865849,,20/08/2024,0.22821447,76.79,3032,54,15/04/2017,15/10/2024,0,80.519880,71.410510,84.906490,20.034350,21.63354570,3.194110,3.229110,0.630970,0.248770,0.189850
