deal_id,asset_name,face_value,mark_value,spread,industry,issuer,maturity_date,loanx_id,type
VOYE2,"GTT Communications, Inc. - GTT Communications Warrant (LX210371)", -   ,,0,,GTT Communications,,,Equity
SPAUL9,Campfire Bidco Limited - New Topco Shares (Class A), -   ,,0,"Chemicals, Plastics & Rubber",Aster II SA,,,Equity
CADOG13,Codere New Holdco SA. - PIK BOND,"770,099",0,0,,Codere Finance 2 Luxembourg,30/11/2027,,Bond
HALCE14,Modacin France - Modacin - Class A shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Modacin France - Modacin - Class B Shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Modacin France - Modacin - Class C shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Modacin France - Modacin - Class D shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Modacin France - Modacin - Class E shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Modacin France - Modacin - Class F Shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Capriel Investment S.A. - Capriel Investment C/S (Schur Flexibles), -   ,,0,,Capriel Investment,,,Equity
HALCE14,Modacin France - Modacin - Class G shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Modacin France - Modacin - Class H Shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Modacin France - Modacin - Class I Shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Modacin France - Modacin - Class J Shares, -   ,,0,Textiles and Leather,Modacin France SAS (aka Camaieu),,,Equity
HALCE14,Hilding Anders - PIK Term Loan-x1,"2,083,171",0,0,"Home and Office Furnishings, Housewares, and Durab",Hilding Anders AB,28/02/2027,LX208610,Loan
HALCE14,Hilding Anders - PIK Term Loan-x2,"212,136",0,0,"Home and Office Furnishings, Housewares, and Durab",Hilding Anders AB,28/02/2027,LX208610,Loan
SPAUL9,"Genesis Care USA Holdings, Inc. - Facility B4 Loan","756,745",1,4.75,,Genesis Specialist Care Finance UK Limited,14/05/2027,LX186040,Loan
CADOG13,Codere Finance 2 Luxembourg - 6.75% - 11/2023,"613,352",6.123,0,,Codere Finance 2 Luxembourg,30/11/2027,,Bond
SPAUL9,Campfire Bidco Limited - 2nd Lien Facility B,"849,016",14,0.1,"Chemicals, Plastics & Rubber",Aster II SA,31/12/2027,LX215858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x24,355,30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x25,"1,617",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x26,"1,693",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x27,"1,627",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x28,"1,615",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x29,"1,656",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x3,"696,278",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x30,"1,661",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x31,"3,041",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x32,"2,961",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x33,"3,052",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x34,"3,077",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x4,"391,273",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x5,"510,648",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x6,"350,092",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x7,"3,932",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x8,"17,882",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x9,"18,727",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x1,"595,861",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x10,"18,001",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x11,"17,862",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x12,"18,317",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x13,"18,378",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
HALCE14,Alison Bidco S.A.R.L. - Term Loan B3-x14,"33,637",30,5.5,Diversified/Conglomerate Manufacturing,Alison Bidco Sa rl,29/08/2024,LX137858,Loan
