,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,32500000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.023700009999999997
1,2024-04-26,32500000.0,0.0,65418.520753424644,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
2,2024-05-26,32500000.0,0.0,128726.7666438356,63308.24589041095,0,0,0,0.0,0.0,0.0,0.023700009999999997
3,2024-06-26,32500000.0,194145.28739726025,194145.28739726025,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
4,2024-07-26,32500000.0,0.0,63308.24589041095,63308.24589041095,0,0,0,0.0,0.0,0.0,0.023700009999999997
5,2024-08-26,32500000.0,0.0,128726.7666438356,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
6,2024-09-26,32500000.0,194145.28739726025,194145.28739726025,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
7,2024-10-26,32500000.0,0.0,63308.24589041095,63308.24589041095,0,0,0,0.0,0.0,0.0,0.023700009999999997
8,2024-11-26,32500000.0,0.0,128726.7666438356,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
9,2024-12-26,32500000.0,192035.01253424655,192035.01253424655,63308.24589041095,0,0,0,0.0,0.0,0.0,0.023700009999999997
10,2025-01-26,32500000.0,0.0,65418.520753424644,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
11,2025-02-26,32500000.0,0.0,130837.04150684929,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
12,2025-03-26,32500000.0,189924.73767123284,189924.73767123284,59087.69616438355,0,0,0,0.0,0.0,0.0,0.023700009999999997
13,2025-04-26,32500000.0,0.0,65418.520753424644,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
14,2025-05-26,32500000.0,0.0,128726.7666438356,63308.24589041095,0,0,0,0.0,0.0,0.0,0.023700009999999997
15,2025-06-26,32500000.0,194145.28739726025,194145.28739726025,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
16,2025-07-26,32500000.0,0.0,63308.24589041095,63308.24589041095,0,0,0,0.0,0.0,0.0,0.023700009999999997
17,2025-08-26,32500000.0,0.0,128726.7666438356,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
18,2025-09-26,32500000.0,194145.28739726025,194145.28739726025,65418.520753424644,0,0,0,0.0,0.0,0.0,0.023700009999999997
