,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,307500000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0075
1,2024-04-26,307500000.0,0.0,195873.2876712329,195873.2876712329,0,0,0,0.0,0.0,0.0,0.0075
2,2024-05-26,307500000.0,0.0,385428.0821917808,189554.79452054793,0,0,0,0.0,0.0,0.0,0.0075
3,2024-06-26,295198708.68892336,581301.3698630137,581301.3698630137,195873.2876712329,0,0,0,12301291.311076665,0.04000419938561517,0.04000419938561517,0.0075
4,2024-07-26,295198708.68892336,0.0,181971.8067260486,181971.8067260486,0,0,0,0.0,0.0,0.0,0.0075
5,2024-08-26,295198708.68892336,0.0,370009.34034296556,188037.53361691692,0,0,0,0.0,0.0,0.0,0.0075
6,2024-09-26,267177418.52201417,558046.8739598824,558046.8739598824,188037.53361691692,0,0,0,28021290.166909177,0.09112614688425749,0.09112614688425749,0.0075
7,2024-10-26,267177418.52201417,0.0,164698.40867795394,164698.40867795394,0,0,0,0.0,0.0,0.0,0.0075
8,2024-11-26,267177418.52201417,0.0,334886.7643118397,170188.35563388575,0,0,0,0.0,0.0,0.0,0.0075
9,2024-12-26,238788890.58516648,499585.17298979365,499585.17298979365,164698.40867795394,0,0,0,28388527.936847683,0.09232041605478922,0.09232041605478922,0.0075
10,2025-01-26,238788890.58516648,0.0,152105.2522220581,152105.2522220581,0,0,0,0.0,0.0,0.0,0.0075
11,2025-02-26,238788890.58516648,0.0,304210.5044441162,152105.2522220581,0,0,0,0.0,0.0,0.0,0.0075
12,2025-03-26,206046059.68496183,441595.8935479106,441595.8935479106,137385.3891037944,0,0,0,32742830.90020467,0.10648075089497454,0.10648075089497454,0.0075
13,2025-04-26,206046059.68496183,0.0,131248.51747055788,131248.51747055788,0,0,0,0.0,0.0,0.0,0.0075
14,2025-05-26,206046059.68496183,0.0,258263.2117969042,127014.6943263463,0,0,0,0.0,0.0,0.0,0.0075
15,2025-06-26,180526455.62311843,389511.72926746204,389511.72926746204,131248.51747055788,0,0,0,25519604.0618434,0.08299058231493789,0.08299058231493789,0.0075
16,2025-07-26,180526455.62311843,0.0,111283.43154849765,111283.43154849765,0,0,0,0.0,0.0,0.0,0.0075
17,2025-08-26,180526455.62311843,0.0,226276.31081527856,114992.87926678092,0,0,0,0.0,0.0,0.0,0.0075
18,2025-09-26,154846494.62973428,341269.1900820595,341269.1900820595,114992.87926678092,0,0,0,25679960.993384156,0.08351206827116799,0.08351206827116799,0.0075
19,2025-10-26,154846494.62973428,0.0,95453.31860737044,95453.31860737044,0,0,0,0.0,0.0,0.0,0.0075
20,2025-11-26,154846494.62973428,0.0,194088.41450165323,98635.09589428279,0,0,0,0.0,0.0,0.0,0.0075
21,2025-12-26,125224177.47775416,289541.73310902365,289541.73310902365,95453.31860737044,0,0,0,29622317.151980113,0.09633273870562638,0.09633273870562638,0.0075
