,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,12500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
1,2024-04-26,12500000.0,0.0,91513.69863013699,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
2,2024-05-26,12500000.0,0.0,180075.34246575343,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
3,2024-06-26,12500000.0,271589.04109589045,271589.04109589045,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
4,2024-07-26,12500000.0,0.0,88561.64383561643,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
5,2024-08-26,12500000.0,0.0,180075.34246575343,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
6,2024-09-26,12500000.0,271589.04109589045,271589.04109589045,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
7,2024-10-26,12500000.0,0.0,88561.64383561643,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
8,2024-11-26,12500000.0,0.0,180075.34246575343,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
9,2024-12-26,12500000.0,268636.98630136985,268636.98630136985,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
10,2025-01-26,12500000.0,0.0,91513.69863013699,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
11,2025-02-26,12500000.0,0.0,183027.39726027398,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
12,2025-03-26,12500000.0,265684.9315068493,265684.9315068493,82657.53424657533,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
13,2025-04-26,12500000.0,0.0,91513.69863013699,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
14,2025-05-26,12500000.0,0.0,180075.34246575343,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
15,2025-06-26,12500000.0,271589.04109589045,271589.04109589045,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
16,2025-07-26,12500000.0,0.0,88561.64383561643,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
17,2025-08-26,12500000.0,0.0,180075.34246575343,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
18,2025-09-26,12500000.0,271589.04109589045,271589.04109589045,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
19,2025-10-26,12500000.0,0.0,88561.64383561643,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
20,2025-11-26,12500000.0,0.0,180075.34246575343,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
21,2025-12-26,12500000.0,268636.98630136985,268636.98630136985,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
22,2026-01-26,12500000.0,0.0,91513.69863013699,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
23,2026-02-26,12500000.0,0.0,183027.39726027398,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
24,2026-03-26,12500000.0,265684.9315068493,265684.9315068493,82657.53424657533,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
25,2026-04-26,12500000.0,0.0,91513.69863013699,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
26,2026-05-26,12500000.0,0.0,180075.34246575343,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
27,2026-06-26,12500000.0,271589.04109589045,271589.04109589045,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
28,2026-07-26,12500000.0,0.0,88561.64383561643,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
29,2026-08-26,12500000.0,0.0,180075.34246575343,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
30,2026-09-26,12500000.0,271589.04109589045,271589.04109589045,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
31,2026-10-26,12500000.0,0.0,88561.64383561643,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
32,2026-11-26,12500000.0,0.0,180075.34246575343,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
33,2026-12-26,12500000.0,268636.98630136985,268636.98630136985,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
34,2027-01-26,12500000.0,0.0,91513.69863013699,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
35,2027-02-26,12500000.0,0.0,183027.39726027398,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
36,2027-03-26,12500000.0,265684.9315068493,265684.9315068493,82657.53424657533,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
37,2027-04-26,12500000.0,0.0,91513.69863013699,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
38,2027-05-26,12500000.0,0.0,180075.34246575343,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
39,2027-06-26,12500000.0,271589.04109589045,271589.04109589045,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
40,2027-07-26,12500000.0,0.0,88561.64383561643,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
41,2027-08-26,12500000.0,0.0,180075.34246575343,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
42,2027-09-26,12500000.0,271589.04109589045,271589.04109589045,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
43,2027-10-26,12500000.0,0.0,88561.64383561643,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
44,2027-11-26,12500000.0,0.0,180075.34246575343,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
45,2027-12-26,12500000.0,268636.98630136985,268636.98630136985,88561.64383561643,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
46,2028-01-26,12500000.0,0.0,91513.69863013699,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
47,2028-02-26,12500000.0,0.0,183027.39726027398,91513.69863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
48,2028-03-26,12500000.0,233275.07990907726,268636.98630136985,85609.5890410959,0.0,0.0,35361.906392292585,0.0,0.0,0.0,0.0862
49,2028-04-26,12500000.0,0.0,91772.58653770271,91772.58653770271,35361.906392292585,0.0,0.0,0.0,0.0,0.0,0.0862
50,2028-05-26,12500000.0,0.0,180584.76705806016,88812.18052035745,35361.906392292585,0.0,0.0,0.0,0.0,0.0,0.0862
51,2028-06-26,12500000.0,252650.9498798817,272357.35359576286,91772.58653770271,35361.906392292585,35361.906392292585,55068.310108173755,0.0,0.0,0.0,0.0862
52,2028-07-26,12500000.0,0.0,88951.79904093078,88951.79904093078,55068.310108173755,0.0,0.0,0.0,0.0,0.0,0.0862
53,2028-08-26,12500000.0,0.0,180868.65804989258,91916.85900896181,55068.310108173755,0.0,0.0,0.0,0.0,0.0,0.0862
54,2028-09-26,1584998.3209338337,327853.82716702815,272785.5170588544,91916.85900896181,55068.310108173755,55068.310108173755,0.0,10915001.679066166,0.8732001343252933,0.8732001343252933,0.0862
55,2028-10-26,1584998.3209338337,0.0,11229.60454228738,11229.60454228738,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
56,2028-11-26,1584998.3209338337,0.0,22833.52923598434,11603.924693696961,0.0,0.0,0.0,0.0,0.0,0.0,0.0862
