,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,27500000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0575
1,2024-04-26,27500000.0,0.0,134297.94520547945,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
2,2024-05-26,27500000.0,0.0,264263.69863013696,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
3,2024-06-26,27500000.0,398561.6438356164,398561.6438356164,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
4,2024-07-26,27500000.0,0.0,129965.75342465752,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
5,2024-08-26,27500000.0,0.0,264263.69863013696,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
6,2024-09-26,27500000.0,398561.6438356164,398561.6438356164,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
7,2024-10-26,27500000.0,0.0,129965.75342465752,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
8,2024-11-26,27500000.0,0.0,264263.69863013696,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
9,2024-12-26,27500000.0,394229.45205479447,394229.45205479447,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
10,2025-01-26,27500000.0,0.0,134297.94520547945,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
11,2025-02-26,27500000.0,0.0,268595.8904109589,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
12,2025-03-26,27500000.0,389897.26027397264,389897.26027397264,121301.36986301371,0,0,0,0.0,0.0,0.0,0.0575
13,2025-04-26,27500000.0,0.0,134297.94520547945,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
14,2025-05-26,27500000.0,0.0,264263.69863013696,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
15,2025-06-26,27500000.0,398561.6438356164,398561.6438356164,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
16,2025-07-26,27500000.0,0.0,129965.75342465752,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
17,2025-08-26,27500000.0,0.0,264263.69863013696,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
18,2025-09-26,27500000.0,398561.6438356164,398561.6438356164,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
19,2025-10-26,27500000.0,0.0,129965.75342465752,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
20,2025-11-26,27500000.0,0.0,264263.69863013696,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
21,2025-12-26,27500000.0,394229.45205479447,394229.45205479447,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
22,2026-01-26,27500000.0,0.0,134297.94520547945,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
23,2026-02-26,27500000.0,0.0,268595.8904109589,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
24,2026-03-26,27500000.0,389897.26027397264,389897.26027397264,121301.36986301371,0,0,0,0.0,0.0,0.0,0.0575
25,2026-04-26,27500000.0,0.0,134297.94520547945,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
26,2026-05-26,27500000.0,0.0,264263.69863013696,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
27,2026-06-26,27500000.0,398561.6438356164,398561.6438356164,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
28,2026-07-26,27500000.0,0.0,129965.75342465752,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
29,2026-08-26,27500000.0,0.0,264263.69863013696,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
30,2026-09-26,27500000.0,398561.6438356164,398561.6438356164,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
31,2026-10-26,27500000.0,0.0,129965.75342465752,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
32,2026-11-26,27500000.0,0.0,264263.69863013696,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
33,2026-12-26,27500000.0,394229.45205479447,394229.45205479447,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
34,2027-01-26,27500000.0,0.0,134297.94520547945,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
35,2027-02-26,27500000.0,0.0,268595.8904109589,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
36,2027-03-26,27500000.0,389897.26027397264,389897.26027397264,121301.36986301371,0,0,0,0.0,0.0,0.0,0.0575
37,2027-04-26,27500000.0,0.0,134297.94520547945,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
38,2027-05-26,27500000.0,0.0,264263.69863013696,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
39,2027-06-26,27500000.0,398561.6438356164,398561.6438356164,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
40,2027-07-26,27500000.0,0.0,129965.75342465752,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
41,2027-08-26,27500000.0,0.0,264263.69863013696,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
42,2027-09-26,27500000.0,398561.6438356164,398561.6438356164,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
43,2027-10-26,27500000.0,0.0,129965.75342465752,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
44,2027-11-26,27500000.0,0.0,264263.69863013696,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
45,2027-12-26,27500000.0,394229.45205479447,394229.45205479447,129965.75342465752,0,0,0,0.0,0.0,0.0,0.0575
46,2028-01-26,27500000.0,0.0,134297.94520547945,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
47,2028-02-26,27500000.0,0.0,268595.8904109589,134297.94520547945,0,0,0,0.0,0.0,0.0,0.0575
48,2028-03-26,24600587.742032927,394229.4520547945,394229.4520547945,125633.56164383565,0,0,0,2899412.2579670735,0.10543317301698449,0.10543317301698449,0.0575
49,2028-04-26,24600587.742032927,0.0,120138.48671280463,120138.48671280463,0,0,0,0.0,0.0,0.0,0.0575
50,2028-05-26,24600587.742032927,0.0,236401.5383703575,116263.05165755287,0,0,0,0.0,0.0,0.0,0.0575
51,2028-06-26,6414531.069799922,356540.0250831621,356540.0250831621,120138.48671280463,0,0,0,18186056.672233004,0.6613111517175638,0.6613111517175638,0.0575
