,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,32500000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
1,2024-04-26,32500000.0,0.0,93849.31506849315,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
2,2024-05-26,32500000.0,0.0,184671.23287671234,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
3,2024-06-26,32500000.0,278520.5479452055,278520.5479452055,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
4,2024-07-26,32500000.0,0.0,90821.91780821918,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
5,2024-08-26,32500000.0,0.0,184671.23287671234,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
6,2024-09-26,32500000.0,278520.5479452055,278520.5479452055,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
7,2024-10-26,32500000.0,0.0,90821.91780821918,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
8,2024-11-26,32500000.0,0.0,184671.23287671234,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
9,2024-12-26,32500000.0,275493.15068493155,275493.15068493155,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
10,2025-01-26,32500000.0,0.0,93849.31506849315,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
11,2025-02-26,32500000.0,0.0,187698.6301369863,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
12,2025-03-26,32500000.0,272465.7534246575,272465.7534246575,84767.12328767125,0,0,0,0.0,0.0,0.0,0.034
13,2025-04-26,32500000.0,0.0,93849.31506849315,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
14,2025-05-26,32500000.0,0.0,184671.23287671234,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
15,2025-06-26,32500000.0,278520.5479452055,278520.5479452055,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
16,2025-07-26,32500000.0,0.0,90821.91780821918,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
17,2025-08-26,32500000.0,0.0,184671.23287671234,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
18,2025-09-26,32500000.0,278520.5479452055,278520.5479452055,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
19,2025-10-26,32500000.0,0.0,90821.91780821918,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
20,2025-11-26,32500000.0,0.0,184671.23287671234,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
21,2025-12-26,32500000.0,275493.15068493155,275493.15068493155,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
22,2026-01-26,32500000.0,0.0,93849.31506849315,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
23,2026-02-26,32500000.0,0.0,187698.6301369863,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
24,2026-03-26,32500000.0,272465.7534246575,272465.7534246575,84767.12328767125,0,0,0,0.0,0.0,0.0,0.034
25,2026-04-26,32500000.0,0.0,93849.31506849315,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
26,2026-05-26,32500000.0,0.0,184671.23287671234,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
27,2026-06-26,32500000.0,278520.5479452055,278520.5479452055,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
28,2026-07-26,32500000.0,0.0,90821.91780821918,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
29,2026-08-26,32500000.0,0.0,184671.23287671234,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
30,2026-09-26,32500000.0,278520.5479452055,278520.5479452055,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
31,2026-10-26,32500000.0,0.0,90821.91780821918,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
32,2026-11-26,32500000.0,0.0,184671.23287671234,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
33,2026-12-26,32500000.0,275493.15068493155,275493.15068493155,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
34,2027-01-26,32500000.0,0.0,93849.31506849315,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
35,2027-02-26,32500000.0,0.0,187698.6301369863,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
36,2027-03-26,32500000.0,272465.7534246575,272465.7534246575,84767.12328767125,0,0,0,0.0,0.0,0.0,0.034
37,2027-04-26,32500000.0,0.0,93849.31506849315,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
38,2027-05-26,32500000.0,0.0,184671.23287671234,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
39,2027-06-26,32500000.0,278520.5479452055,278520.5479452055,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
40,2027-07-26,32500000.0,0.0,90821.91780821918,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
41,2027-08-26,32500000.0,0.0,184671.23287671234,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
42,2027-09-26,32500000.0,278520.5479452055,278520.5479452055,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
43,2027-10-26,32500000.0,0.0,90821.91780821918,90821.91780821918,0,0,0,0.0,0.0,0.0,0.034
44,2027-11-26,32500000.0,0.0,184671.23287671234,93849.31506849315,0,0,0,0.0,0.0,0.0,0.034
45,2027-12-26,20465846.4527649,275493.15068493155,275493.15068493155,90821.91780821918,0,0,0,12034153.5472351,0.3702816476072338,0.3702816476072338,0.034
46,2028-01-26,20465846.4527649,0.0,59098.636058121105,59098.636058121105,0,0,0,0.0,0.0,0.0,0.034
47,2028-02-26,20465846.4527649,0.0,118197.27211624221,59098.636058121105,0,0,0,0.0,0.0,0.0,0.034
48,2028-03-26,0.0,173483.0929448071,173483.0929448071,55285.82082856491,0,0,0,20465846.4527649,0.6297183523927661,0.6297183523927661,0.034
49,2028-04-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
50,2028-05-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
51,2028-06-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
52,2028-07-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
53,2028-08-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
54,2028-09-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
55,2028-10-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
56,2028-11-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
57,2028-12-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.034
