,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,24000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.025
1,2024-04-26,24000000.0,0.0,50958.90410958904,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
2,2024-05-26,24000000.0,0.0,100273.97260273973,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
3,2024-06-26,24000000.0,151232.87671232875,151232.87671232875,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
4,2024-07-26,24000000.0,0.0,49315.068493150684,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
5,2024-08-26,24000000.0,0.0,100273.97260273973,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
6,2024-09-26,24000000.0,151232.87671232875,151232.87671232875,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
7,2024-10-26,24000000.0,0.0,49315.068493150684,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
8,2024-11-26,24000000.0,0.0,100273.97260273973,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
9,2024-12-26,24000000.0,149589.0410958904,149589.0410958904,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
10,2025-01-26,24000000.0,0.0,50958.90410958904,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
11,2025-02-26,24000000.0,0.0,101917.80821917808,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
12,2025-03-26,24000000.0,147945.20547945207,147945.20547945207,46027.39726027398,0,0,0,0.0,0.0,0.0,0.025
13,2025-04-26,24000000.0,0.0,50958.90410958904,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
14,2025-05-26,24000000.0,0.0,100273.97260273973,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
15,2025-06-26,24000000.0,151232.87671232875,151232.87671232875,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
16,2025-07-26,24000000.0,0.0,49315.068493150684,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
17,2025-08-26,24000000.0,0.0,100273.97260273973,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
18,2025-09-26,24000000.0,151232.87671232875,151232.87671232875,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
19,2025-10-26,24000000.0,0.0,49315.068493150684,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
20,2025-11-26,24000000.0,0.0,100273.97260273973,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
21,2025-12-26,24000000.0,149589.0410958904,149589.0410958904,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
22,2026-01-26,24000000.0,0.0,50958.90410958904,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
23,2026-02-26,24000000.0,0.0,101917.80821917808,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
24,2026-03-26,24000000.0,147945.20547945207,147945.20547945207,46027.39726027398,0,0,0,0.0,0.0,0.0,0.025
25,2026-04-26,24000000.0,0.0,50958.90410958904,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
26,2026-05-26,24000000.0,0.0,100273.97260273973,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
27,2026-06-26,24000000.0,151232.87671232875,151232.87671232875,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
28,2026-07-26,24000000.0,0.0,49315.068493150684,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
29,2026-08-26,24000000.0,0.0,100273.97260273973,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
30,2026-09-26,24000000.0,151232.87671232875,151232.87671232875,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
31,2026-10-26,24000000.0,0.0,49315.068493150684,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
32,2026-11-26,24000000.0,0.0,100273.97260273973,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
33,2026-12-26,24000000.0,149589.0410958904,149589.0410958904,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
34,2027-01-26,24000000.0,0.0,50958.90410958904,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
35,2027-02-26,24000000.0,0.0,101917.80821917808,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
36,2027-03-26,24000000.0,147945.20547945207,147945.20547945207,46027.39726027398,0,0,0,0.0,0.0,0.0,0.025
37,2027-04-26,24000000.0,0.0,50958.90410958904,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
38,2027-05-26,24000000.0,0.0,100273.97260273973,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
39,2027-06-26,24000000.0,151232.87671232875,151232.87671232875,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
40,2027-07-26,24000000.0,0.0,49315.068493150684,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
41,2027-08-26,24000000.0,0.0,100273.97260273973,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
42,2027-09-26,24000000.0,151232.87671232875,151232.87671232875,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
43,2027-10-26,24000000.0,0.0,49315.068493150684,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
44,2027-11-26,24000000.0,0.0,100273.97260273973,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
45,2027-12-26,24000000.0,149589.0410958904,149589.0410958904,49315.068493150684,0,0,0,0.0,0.0,0.0,0.025
46,2028-01-26,24000000.0,0.0,50958.90410958904,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
47,2028-02-26,24000000.0,0.0,101917.80821917808,50958.90410958904,0,0,0,0.0,0.0,0.0,0.025
