,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,40000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01850001
1,2024-04-26,40000000.0,0.0,62849.34904109589,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
2,2024-05-26,40000000.0,0.0,123671.29972602738,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
3,2024-06-26,40000000.0,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
4,2024-07-26,40000000.0,0.0,60821.9506849315,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
5,2024-08-26,40000000.0,0.0,123671.29972602738,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
6,2024-09-26,40000000.0,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
7,2024-10-26,40000000.0,0.0,60821.9506849315,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
8,2024-11-26,40000000.0,0.0,123671.29972602738,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
9,2024-12-26,40000000.0,184493.2504109589,184493.2504109589,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
10,2025-01-26,40000000.0,0.0,62849.34904109589,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
11,2025-02-26,40000000.0,0.0,125698.69808219178,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
12,2025-03-26,40000000.0,182465.85205479452,182465.85205479452,56767.15397260275,0,0,0,0.0,0.0,0.0,0.01850001
13,2025-04-26,40000000.0,0.0,62849.34904109589,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
14,2025-05-26,40000000.0,0.0,123671.29972602738,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
15,2025-06-26,40000000.0,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
16,2025-07-26,40000000.0,0.0,60821.9506849315,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
17,2025-08-26,40000000.0,0.0,123671.29972602738,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
18,2025-09-26,40000000.0,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
19,2025-10-26,40000000.0,0.0,60821.9506849315,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
20,2025-11-26,40000000.0,0.0,123671.29972602738,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
21,2025-12-26,40000000.0,184493.2504109589,184493.2504109589,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
22,2026-01-26,40000000.0,0.0,62849.34904109589,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
23,2026-02-26,40000000.0,0.0,125698.69808219178,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
24,2026-03-26,40000000.0,182465.85205479452,182465.85205479452,56767.15397260275,0,0,0,0.0,0.0,0.0,0.01850001
25,2026-04-26,40000000.0,0.0,62849.34904109589,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
26,2026-05-26,40000000.0,0.0,123671.29972602738,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
27,2026-06-26,40000000.0,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
28,2026-07-26,40000000.0,0.0,60821.9506849315,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
29,2026-08-26,40000000.0,0.0,123671.29972602738,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
30,2026-09-26,40000000.0,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
31,2026-10-26,40000000.0,0.0,60821.9506849315,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
32,2026-11-26,40000000.0,0.0,123671.29972602738,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
33,2026-12-26,40000000.0,184493.2504109589,184493.2504109589,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
34,2027-01-26,40000000.0,0.0,62849.34904109589,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
35,2027-02-26,40000000.0,0.0,125698.69808219178,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
36,2027-03-26,40000000.0,182465.85205479452,182465.85205479452,56767.15397260275,0,0,0,0.0,0.0,0.0,0.01850001
37,2027-04-26,40000000.0,0.0,62849.34904109589,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
38,2027-05-26,40000000.0,0.0,123671.29972602738,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
39,2027-06-26,40000000.0,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
40,2027-07-26,40000000.0,0.0,60821.9506849315,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
41,2027-08-26,40000000.0,0.0,123671.29972602738,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
42,2027-09-26,40000000.0,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
43,2027-10-26,40000000.0,0.0,60821.9506849315,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
44,2027-11-26,40000000.0,0.0,123671.29972602738,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
45,2027-12-26,40000000.0,184493.2504109589,184493.2504109589,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
46,2028-01-26,40000000.0,0.0,62849.34904109589,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
47,2028-02-26,40000000.0,0.0,125698.69808219178,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
48,2028-03-26,40000000.0,184493.25041095892,184493.25041095892,58794.55232876713,0,0,0,0.0,0.0,0.0,0.01850001
49,2028-04-26,40000000.0,0.0,62849.34904109589,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
50,2028-05-26,40000000.0,0.0,123671.29972602738,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
51,2028-06-26,40000000.0,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
52,2028-07-26,40000000.0,0.0,60821.9506849315,60821.9506849315,0,0,0,0.0,0.0,0.0,0.01850001
53,2028-08-26,40000000.0,0.0,123671.29972602738,62849.34904109589,0,0,0,0.0,0.0,0.0,0.01850001
54,2028-09-26,38065263.86550601,186520.6487671233,186520.6487671233,62849.34904109589,0,0,0,1934736.134493988,0.0483684033623497,0.0483684033623497,0.01850001
55,2028-10-26,38065263.86550601,0.0,57880.09004091779,57880.09004091779,0,0,0,0.0,0.0,0.0,0.01850001
56,2028-11-26,38065263.86550601,0.0,117689.51641653285,59809.426375615054,0,0,0,0.0,0.0,0.0,0.01850001
57,2028-12-26,13678263.118142657,175569.60645745063,175569.60645745063,57880.09004091779,0,0,0,24387000.74736335,0.6096750186840838,0.6096750186840838,0.01850001
58,2029-01-26,13678263.118142657,0.0,21491.748324702414,21491.748324702414,0,0,0,0.0,0.0,0.0,0.01850001
59,2029-02-26,13678263.118142657,0.0,42983.49664940483,21491.748324702414,0,0,0,0.0,0.0,0.0,0.01850001
60,2029-03-26,0.0,62395.39836203927,62395.39836203927,19411.901712634437,0,0,0,13678263.118142657,0.34195657795356643,0.34195657795356643,0.01850001
61,2029-04-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01850001
62,2029-05-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01850001
63,2029-06-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01850001
64,2029-07-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01850001
65,2029-08-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01850001
66,2029-09-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01850001
67,2029-10-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01850001
