,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,248000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01040001
1,2024-04-26,248000000.0,0.0,219055.55309589038,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
2,2024-05-26,248000000.0,0.0,431044.79802739725,211989.24493150684,0,0,0,0.0,0.0,0.0,0.01040001
3,2024-06-26,248000000.0,650100.3511232876,650100.3511232876,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
4,2024-07-26,248000000.0,0.0,211989.24493150684,211989.24493150684,0,0,0,0.0,0.0,0.0,0.01040001
5,2024-08-26,248000000.0,0.0,431044.79802739725,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
6,2024-09-26,248000000.0,650100.3511232876,650100.3511232876,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
7,2024-10-26,248000000.0,0.0,211989.24493150684,211989.24493150684,0,0,0,0.0,0.0,0.0,0.01040001
8,2024-11-26,248000000.0,0.0,431044.79802739725,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
9,2024-12-26,248000000.0,643034.042958904,643034.042958904,211989.24493150684,0,0,0,0.0,0.0,0.0,0.01040001
10,2025-01-26,248000000.0,0.0,219055.55309589038,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
11,2025-02-26,248000000.0,0.0,438111.10619178077,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
12,2025-03-26,248000000.0,635967.7347945205,635967.7347945205,197856.6286027397,0,0,0,0.0,0.0,0.0,0.01040001
13,2025-04-26,248000000.0,0.0,219055.55309589038,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
14,2025-05-26,248000000.0,0.0,431044.79802739725,211989.24493150684,0,0,0,0.0,0.0,0.0,0.01040001
15,2025-06-26,248000000.0,650100.3511232876,650100.3511232876,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
16,2025-07-26,248000000.0,0.0,211989.24493150684,211989.24493150684,0,0,0,0.0,0.0,0.0,0.01040001
17,2025-08-26,248000000.0,0.0,431044.79802739725,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
18,2025-09-26,248000000.0,650100.3511232876,650100.3511232876,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
19,2025-10-26,248000000.0,0.0,211989.24493150684,211989.24493150684,0,0,0,0.0,0.0,0.0,0.01040001
20,2025-11-26,248000000.0,0.0,431044.79802739725,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
21,2025-12-26,248000000.0,643034.042958904,643034.042958904,211989.24493150684,0,0,0,0.0,0.0,0.0,0.01040001
22,2026-01-26,248000000.0,0.0,219055.55309589038,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
23,2026-02-26,248000000.0,0.0,438111.10619178077,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
24,2026-03-26,248000000.0,635967.7347945205,635967.7347945205,197856.6286027397,0,0,0,0.0,0.0,0.0,0.01040001
25,2026-04-26,248000000.0,0.0,219055.55309589038,219055.55309589038,0,0,0,0.0,0.0,0.0,0.01040001
