,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,11400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
1,2024-04-26,11400000.0,0.0,87623.84529863014,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
2,2024-05-26,11400000.0,0.0,172421.11494246576,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
3,2024-06-26,11400000.0,260044.96024109592,260044.96024109592,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
4,2024-07-26,11400000.0,0.0,84797.26964383562,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
5,2024-08-26,11400000.0,0.0,172421.11494246576,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
6,2024-09-26,11400000.0,260044.96024109592,260044.96024109592,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
7,2024-10-26,11400000.0,0.0,84797.26964383562,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
8,2024-11-26,11400000.0,0.0,172421.11494246576,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
9,2024-12-26,11400000.0,257218.3845863014,257218.3845863014,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
10,2025-01-26,11400000.0,0.0,87623.84529863014,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
11,2025-02-26,11400000.0,0.0,175247.69059726028,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
12,2025-03-26,11400000.0,254391.80893150688,254391.80893150688,79144.11833424658,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
13,2025-04-26,11400000.0,0.0,87623.84529863014,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
14,2025-05-26,11400000.0,0.0,172421.11494246576,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
15,2025-06-26,11400000.0,260044.96024109592,260044.96024109592,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
16,2025-07-26,11400000.0,0.0,84797.26964383562,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
17,2025-08-26,11400000.0,0.0,172421.11494246576,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
18,2025-09-26,11400000.0,260044.96024109592,260044.96024109592,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
19,2025-10-26,11400000.0,0.0,84797.26964383562,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
20,2025-11-26,11400000.0,0.0,172421.11494246576,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
21,2025-12-26,11400000.0,257218.3845863014,257218.3845863014,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
22,2026-01-26,11400000.0,0.0,87623.84529863014,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
23,2026-02-26,11400000.0,0.0,175247.69059726028,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
24,2026-03-26,11400000.0,254391.80893150688,254391.80893150688,79144.11833424658,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
25,2026-04-26,11400000.0,0.0,87623.84529863014,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
26,2026-05-26,11400000.0,0.0,172421.11494246576,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
27,2026-06-26,11400000.0,260044.96024109592,260044.96024109592,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
28,2026-07-26,11400000.0,0.0,84797.26964383562,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
29,2026-08-26,11400000.0,0.0,172421.11494246576,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
30,2026-09-26,11400000.0,260044.96024109592,260044.96024109592,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
31,2026-10-26,11400000.0,0.0,84797.26964383562,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
32,2026-11-26,11400000.0,0.0,172421.11494246576,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
33,2026-12-26,11400000.0,257218.3845863014,257218.3845863014,84797.26964383562,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
34,2027-01-26,11400000.0,0.0,87623.84529863014,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
35,2027-02-26,11400000.0,0.0,175247.69059726028,87623.84529863014,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
36,2027-03-26,11400000.0,254391.80893150688,254391.80893150688,79144.11833424658,0.0,0.0,0.0,0.0,0.0,0.0,0.09050001
