,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,21200000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.062400010000000006
1,2024-04-26,21200000.0,0.0,112354.20978630138,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
2,2024-05-26,21200000.0,0.0,221084.09022465756,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
3,2024-06-26,21200000.0,333438.3000109589,333438.3000109589,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
4,2024-07-26,21200000.0,0.0,108729.88043835617,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
5,2024-08-26,21200000.0,0.0,221084.09022465756,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
6,2024-09-26,21200000.0,333438.3000109589,333438.3000109589,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
7,2024-10-26,21200000.0,0.0,108729.88043835617,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
8,2024-11-26,21200000.0,0.0,221084.09022465756,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
9,2024-12-26,21200000.0,329813.97066301375,329813.97066301375,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
10,2025-01-26,21200000.0,0.0,112354.20978630138,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
11,2025-02-26,21200000.0,0.0,224708.41957260275,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
12,2025-03-26,21200000.0,326189.6413150685,326189.6413150685,101481.22174246577,0,0,0,0.0,0.0,0.0,0.062400010000000006
13,2025-04-26,21200000.0,0.0,112354.20978630138,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
14,2025-05-26,21200000.0,0.0,221084.09022465756,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
15,2025-06-26,21200000.0,333438.3000109589,333438.3000109589,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
16,2025-07-26,21200000.0,0.0,108729.88043835617,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
17,2025-08-26,21200000.0,0.0,221084.09022465756,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
18,2025-09-26,21200000.0,333438.3000109589,333438.3000109589,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
19,2025-10-26,21200000.0,0.0,108729.88043835617,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
20,2025-11-26,21200000.0,0.0,221084.09022465756,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
21,2025-12-26,21200000.0,329813.97066301375,329813.97066301375,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
22,2026-01-26,21200000.0,0.0,112354.20978630138,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
23,2026-02-26,21200000.0,0.0,224708.41957260275,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
24,2026-03-26,21200000.0,326189.6413150685,326189.6413150685,101481.22174246577,0,0,0,0.0,0.0,0.0,0.062400010000000006
25,2026-04-26,21200000.0,0.0,112354.20978630138,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
26,2026-05-26,21200000.0,0.0,221084.09022465756,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
27,2026-06-26,21200000.0,333438.3000109589,333438.3000109589,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
28,2026-07-26,21200000.0,0.0,108729.88043835617,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
29,2026-08-26,21200000.0,0.0,221084.09022465756,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
30,2026-09-26,21200000.0,333438.3000109589,333438.3000109589,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
31,2026-10-26,21200000.0,0.0,108729.88043835617,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
32,2026-11-26,21200000.0,0.0,221084.09022465756,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
33,2026-12-26,21200000.0,329813.97066301375,329813.97066301375,108729.88043835617,0,0,0,0.0,0.0,0.0,0.062400010000000006
34,2027-01-26,21200000.0,0.0,112354.20978630138,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
35,2027-02-26,21200000.0,0.0,224708.41957260275,112354.20978630138,0,0,0,0.0,0.0,0.0,0.062400010000000006
