,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,28000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.035
1,2024-04-26,28000000.0,0.0,83232.87671232877,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
2,2024-05-26,28000000.0,0.0,163780.82191780824,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
3,2024-06-26,28000000.0,247013.69863013702,247013.69863013702,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
4,2024-07-26,28000000.0,0.0,80547.94520547947,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
5,2024-08-26,28000000.0,0.0,163780.82191780824,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
6,2024-09-26,28000000.0,247013.69863013702,247013.69863013702,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
7,2024-10-26,28000000.0,0.0,80547.94520547947,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
8,2024-11-26,28000000.0,0.0,163780.82191780824,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
9,2024-12-26,28000000.0,244328.76712328772,244328.76712328772,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
10,2025-01-26,28000000.0,0.0,83232.87671232877,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
11,2025-02-26,28000000.0,0.0,166465.75342465754,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
12,2025-03-26,28000000.0,241643.83561643836,241643.83561643836,75178.08219178084,0,0,0,0.0,0.0,0.0,0.035
13,2025-04-26,28000000.0,0.0,83232.87671232877,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
14,2025-05-26,28000000.0,0.0,163780.82191780824,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
15,2025-06-26,28000000.0,247013.69863013702,247013.69863013702,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
16,2025-07-26,28000000.0,0.0,80547.94520547947,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
17,2025-08-26,28000000.0,0.0,163780.82191780824,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
18,2025-09-26,28000000.0,247013.69863013702,247013.69863013702,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
19,2025-10-26,28000000.0,0.0,80547.94520547947,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
20,2025-11-26,28000000.0,0.0,163780.82191780824,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
21,2025-12-26,28000000.0,244328.76712328772,244328.76712328772,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
22,2026-01-26,28000000.0,0.0,83232.87671232877,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
23,2026-02-26,28000000.0,0.0,166465.75342465754,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
24,2026-03-26,28000000.0,241643.83561643836,241643.83561643836,75178.08219178084,0,0,0,0.0,0.0,0.0,0.035
25,2026-04-26,28000000.0,0.0,83232.87671232877,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
26,2026-05-26,28000000.0,0.0,163780.82191780824,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
27,2026-06-26,28000000.0,247013.69863013702,247013.69863013702,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
28,2026-07-26,28000000.0,0.0,80547.94520547947,80547.94520547947,0,0,0,0.0,0.0,0.0,0.035
29,2026-08-26,28000000.0,0.0,163780.82191780824,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
30,2026-09-26,28000000.0,247013.69863013702,247013.69863013702,83232.87671232877,0,0,0,0.0,0.0,0.0,0.035
