,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,31000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0215
1,2024-04-26,31000000.0,0.0,56606.84931506849,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
2,2024-05-26,31000000.0,0.0,111387.6712328767,54780.821917808214,0,0,0,0.0,0.0,0.0,0.0215
3,2024-06-26,31000000.0,167994.5205479452,167994.5205479452,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
4,2024-07-26,31000000.0,0.0,54780.821917808214,54780.821917808214,0,0,0,0.0,0.0,0.0,0.0215
5,2024-08-26,31000000.0,0.0,111387.6712328767,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
6,2024-09-26,31000000.0,167994.5205479452,167994.5205479452,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
7,2024-10-26,31000000.0,0.0,54780.821917808214,54780.821917808214,0,0,0,0.0,0.0,0.0,0.0215
8,2024-11-26,31000000.0,0.0,111387.6712328767,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
9,2024-12-26,31000000.0,166168.49315068492,166168.49315068492,54780.821917808214,0,0,0,0.0,0.0,0.0,0.0215
10,2025-01-26,31000000.0,0.0,56606.84931506849,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
11,2025-02-26,31000000.0,0.0,113213.69863013698,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
12,2025-03-26,31000000.0,164342.46575342465,164342.46575342465,51128.76712328767,0,0,0,0.0,0.0,0.0,0.0215
13,2025-04-26,31000000.0,0.0,56606.84931506849,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
14,2025-05-26,31000000.0,0.0,111387.6712328767,54780.821917808214,0,0,0,0.0,0.0,0.0,0.0215
15,2025-06-26,31000000.0,167994.5205479452,167994.5205479452,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
16,2025-07-26,31000000.0,0.0,54780.821917808214,54780.821917808214,0,0,0,0.0,0.0,0.0,0.0215
17,2025-08-26,31000000.0,0.0,111387.6712328767,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
18,2025-09-26,31000000.0,167994.5205479452,167994.5205479452,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
19,2025-10-26,31000000.0,0.0,54780.821917808214,54780.821917808214,0,0,0,0.0,0.0,0.0,0.0215
20,2025-11-26,31000000.0,0.0,111387.6712328767,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
21,2025-12-26,31000000.0,166168.49315068492,166168.49315068492,54780.821917808214,0,0,0,0.0,0.0,0.0,0.0215
22,2026-01-26,31000000.0,0.0,56606.84931506849,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
23,2026-02-26,31000000.0,0.0,113213.69863013698,56606.84931506849,0,0,0,0.0,0.0,0.0,0.0215
