,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,236000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0085
1,2024-04-26,236000000.0,0.0,170372.60273972602,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
2,2024-05-26,236000000.0,0.0,335249.31506849313,164876.7123287671,0,0,0,0.0,0.0,0.0,0.0085
3,2024-06-26,236000000.0,505621.91780821915,505621.91780821915,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
4,2024-07-26,236000000.0,0.0,164876.7123287671,164876.7123287671,0,0,0,0.0,0.0,0.0,0.0085
5,2024-08-26,236000000.0,0.0,335249.31506849313,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
6,2024-09-26,236000000.0,505621.91780821915,505621.91780821915,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
7,2024-10-26,236000000.0,0.0,164876.7123287671,164876.7123287671,0,0,0,0.0,0.0,0.0,0.0085
8,2024-11-26,236000000.0,0.0,335249.31506849313,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
9,2024-12-26,236000000.0,500126.02739726024,500126.02739726024,164876.7123287671,0,0,0,0.0,0.0,0.0,0.0085
10,2025-01-26,236000000.0,0.0,170372.60273972602,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
11,2025-02-26,236000000.0,0.0,340745.20547945204,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
12,2025-03-26,236000000.0,494630.1369863014,494630.1369863014,153884.93150684933,0,0,0,0.0,0.0,0.0,0.0085
13,2025-04-26,236000000.0,0.0,170372.60273972602,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
14,2025-05-26,236000000.0,0.0,335249.31506849313,164876.7123287671,0,0,0,0.0,0.0,0.0,0.0085
15,2025-06-26,236000000.0,505621.91780821915,505621.91780821915,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
16,2025-07-26,236000000.0,0.0,164876.7123287671,164876.7123287671,0,0,0,0.0,0.0,0.0,0.0085
17,2025-08-26,236000000.0,0.0,335249.31506849313,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
18,2025-09-26,236000000.0,505621.91780821915,505621.91780821915,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
19,2025-10-26,236000000.0,0.0,164876.7123287671,164876.7123287671,0,0,0,0.0,0.0,0.0,0.0085
20,2025-11-26,236000000.0,0.0,335249.31506849313,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
21,2025-12-26,236000000.0,500126.02739726024,500126.02739726024,164876.7123287671,0,0,0,0.0,0.0,0.0,0.0085
22,2026-01-26,236000000.0,0.0,170372.60273972602,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
23,2026-02-26,236000000.0,0.0,340745.20547945204,170372.60273972602,0,0,0,0.0,0.0,0.0,0.0085
24,2026-03-26,201126796.0815712,494630.1369863014,494630.1369863014,153884.93150684933,0,0,0,34873203.91842881,0.1477678132136814,0.1477678132136814,0.0085
25,2026-04-26,201126796.0815712,0.0,145197.01580135344,145197.01580135344,0,0,0,0.0,0.0,0.0,0.0085
26,2026-05-26,201126796.0815712,0.0,285710.2568994374,140513.241098084,0,0,0,0.0,0.0,0.0,0.0085
27,2026-06-26,166103667.88596216,430907.27270079084,430907.27270079084,145197.01580135344,0,0,0,35023128.19560904,0.14840308557461457,0.14840308557461457,0.0085
28,2026-07-26,166103667.88596216,0.0,116045.02824909685,116045.02824909685,0,0,0,0.0,0.0,0.0,0.0085
29,2026-08-26,166103667.88596216,0.0,235958.22410649696,119913.19585740009,0,0,0,0.0,0.0,0.0,0.0085
30,2026-09-26,135417382.20951176,355871.41996389703,355871.41996389703,119913.19585740009,0,0,0,30686285.67645041,0.1300266342222475,0.1300266342222475,0.0085
31,2026-10-26,135417382.20951176,0.0,94606.66428335752,94606.66428335752,0,0,0,0.0,0.0,0.0,0.0085
32,2026-11-26,135417382.20951176,0.0,192366.88404282698,97760.21975946946,0,0,0,0.0,0.0,0.0,0.0085
33,2026-12-26,107763945.1989851,286973.5483261845,286973.5483261845,94606.66428335752,0,0,0,27653437.010526653,0.11717558055307904,0.11717558055307904,0.0085
34,2027-01-26,107763945.1989851,0.0,77796.71112310294,77796.71112310294,0,0,0,0.0,0.0,0.0,0.0085
35,2027-02-26,107763945.1989851,0.0,155593.42224620588,77796.71112310294,0,0,0,0.0,0.0,0.0,0.0085
36,2027-03-26,88062780.47437862,225861.41938965372,225861.41938965372,70267.99714344784,0,0,0,19701164.72460648,0.08347951154494271,0.08347951154494271,0.0085
37,2027-04-26,88062780.47437862,0.0,63574.08946575005,63574.08946575005,0,0,0,0.0,0.0,0.0,0.0085
38,2027-05-26,88062780.47437862,0.0,125097.40185195976,61523.31238620972,0,0,0,0.0,0.0,0.0,0.0085
39,2027-06-26,66141635.685008034,188671.4913177098,188671.4913177098,63574.08946575005,0,0,0,21921144.789370578,0.0928862067346211,0.0928862067346211,0.0085
40,2027-07-26,66141635.685008034,0.0,46208.5399991152,46208.5399991152,0,0,0,0.0,0.0,0.0,0.0085
41,2027-08-26,66141635.685008034,0.0,93957.36466486758,47748.82466575238,0,0,0,0.0,0.0,0.0,0.0085
