,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,12500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
1,2024-04-26,12500000.0,0.0,88116.44897260274,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
2,2024-05-26,12500000.0,0.0,173390.43184931506,85273.98287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
3,2024-06-26,12500000.0,261506.8808219178,261506.8808219178,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
4,2024-07-26,12500000.0,0.0,85273.98287671233,85273.98287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
5,2024-08-26,12500000.0,0.0,173390.43184931506,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
6,2024-09-26,12500000.0,261506.8808219178,261506.8808219178,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
7,2024-10-26,12500000.0,0.0,85273.98287671233,85273.98287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
8,2024-11-26,12500000.0,0.0,173390.43184931506,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
9,2024-12-26,12500000.0,258664.4147260274,258664.4147260274,85273.98287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
10,2025-01-26,12500000.0,0.0,88116.44897260274,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
11,2025-02-26,12500000.0,0.0,176232.89794520548,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
12,2025-03-26,12500000.0,255821.94863013696,255821.94863013696,79589.0506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
13,2025-04-26,12500000.0,0.0,88116.44897260274,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
14,2025-05-26,12500000.0,0.0,173390.43184931506,85273.98287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
15,2025-06-26,12500000.0,261506.8808219178,261506.8808219178,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
16,2025-07-26,12500000.0,0.0,85273.98287671233,85273.98287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
17,2025-08-26,12500000.0,0.0,173390.43184931506,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
18,2025-09-26,12500000.0,261506.8808219178,261506.8808219178,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
19,2025-10-26,12500000.0,0.0,85273.98287671233,85273.98287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
20,2025-11-26,12500000.0,0.0,173390.43184931506,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
21,2025-12-26,12500000.0,258664.4147260274,258664.4147260274,85273.98287671233,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
22,2026-01-26,12500000.0,0.0,88116.44897260274,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
23,2026-02-26,12500000.0,0.0,176232.89794520548,88116.44897260274,0.0,0.0,0.0,0.0,0.0,0.0,0.08300001
