,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,22000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0571
1,2024-04-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
2,2024-05-26,22000000.0,0.0,209940.27397260274,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
3,2024-06-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
4,2024-07-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
5,2024-08-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
6,2024-09-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
7,2024-10-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
8,2024-11-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
9,2024-12-26,22000000.0,313189.58904109587,313189.58904109587,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
10,2025-01-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
11,2025-02-26,22000000.0,0.0,213381.91780821918,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
12,2025-03-26,22000000.0,309747.94520547945,309747.94520547945,96366.02739726027,0,0,0,0.0,0.0,0.0,0.0571
13,2025-04-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
14,2025-05-26,22000000.0,0.0,209940.27397260274,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
15,2025-06-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
16,2025-07-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
17,2025-08-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
18,2025-09-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
19,2025-10-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
20,2025-11-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
21,2025-12-26,22000000.0,313189.58904109587,313189.58904109587,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
22,2026-01-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
23,2026-02-26,22000000.0,0.0,213381.91780821918,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
24,2026-03-26,22000000.0,309747.94520547945,309747.94520547945,96366.02739726027,0,0,0,0.0,0.0,0.0,0.0571
25,2026-04-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
26,2026-05-26,22000000.0,0.0,209940.27397260274,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
27,2026-06-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
28,2026-07-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
29,2026-08-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
30,2026-09-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
31,2026-10-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
32,2026-11-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
33,2026-12-26,22000000.0,313189.58904109587,313189.58904109587,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
34,2027-01-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
35,2027-02-26,22000000.0,0.0,213381.91780821918,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
36,2027-03-26,22000000.0,309747.94520547945,309747.94520547945,96366.02739726027,0,0,0,0.0,0.0,0.0,0.0571
37,2027-04-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
38,2027-05-26,22000000.0,0.0,209940.27397260274,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
39,2027-06-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
40,2027-07-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
41,2027-08-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
42,2027-09-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
43,2027-10-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
44,2027-11-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
45,2027-12-26,22000000.0,313189.58904109587,313189.58904109587,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
46,2028-01-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
47,2028-02-26,22000000.0,0.0,213381.91780821918,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
48,2028-03-26,22000000.0,313189.5890410959,313189.5890410959,99807.67123287672,0,0,0,0.0,0.0,0.0,0.0571
49,2028-04-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
50,2028-05-26,22000000.0,0.0,209940.27397260274,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
51,2028-06-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
52,2028-07-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
53,2028-08-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
54,2028-09-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
55,2028-10-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
56,2028-11-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
57,2028-12-26,22000000.0,313189.58904109587,313189.58904109587,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
58,2029-01-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
59,2029-02-26,22000000.0,0.0,213381.91780821918,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
60,2029-03-26,22000000.0,309747.94520547945,309747.94520547945,96366.02739726027,0,0,0,0.0,0.0,0.0,0.0571
61,2029-04-26,22000000.0,0.0,106690.95890410959,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
62,2029-05-26,22000000.0,0.0,209940.27397260274,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
63,2029-06-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
64,2029-07-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
65,2029-08-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
66,2029-09-26,22000000.0,316631.23287671234,316631.23287671234,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
67,2029-10-26,22000000.0,0.0,103249.31506849313,103249.31506849313,0,0,0,0.0,0.0,0.0,0.0571
68,2029-11-26,22000000.0,0.0,209940.27397260274,106690.95890410959,0,0,0,0.0,0.0,0.0,0.0571
