,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,24500000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
1,2024-04-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
2,2024-05-26,24500000.0,0.0,122835.61643835616,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
3,2024-06-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
4,2024-07-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
5,2024-08-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
6,2024-09-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
7,2024-10-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
8,2024-11-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
9,2024-12-26,24500000.0,183246.57534246575,183246.57534246575,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
10,2025-01-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
11,2025-02-26,24500000.0,0.0,124849.31506849315,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
12,2025-03-26,24500000.0,181232.87671232875,181232.87671232875,56383.561643835616,0,0,0,0.0,0.0,0.0,0.03
13,2025-04-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
14,2025-05-26,24500000.0,0.0,122835.61643835616,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
15,2025-06-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
16,2025-07-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
17,2025-08-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
18,2025-09-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
19,2025-10-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
20,2025-11-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
21,2025-12-26,24500000.0,183246.57534246575,183246.57534246575,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
22,2026-01-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
23,2026-02-26,24500000.0,0.0,124849.31506849315,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
24,2026-03-26,24500000.0,181232.87671232875,181232.87671232875,56383.561643835616,0,0,0,0.0,0.0,0.0,0.03
25,2026-04-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
26,2026-05-26,24500000.0,0.0,122835.61643835616,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
27,2026-06-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
28,2026-07-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
29,2026-08-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
30,2026-09-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
31,2026-10-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
32,2026-11-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
33,2026-12-26,24500000.0,183246.57534246575,183246.57534246575,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
34,2027-01-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
35,2027-02-26,24500000.0,0.0,124849.31506849315,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
36,2027-03-26,24500000.0,181232.87671232875,181232.87671232875,56383.561643835616,0,0,0,0.0,0.0,0.0,0.03
37,2027-04-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
38,2027-05-26,24500000.0,0.0,122835.61643835616,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
39,2027-06-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
40,2027-07-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
41,2027-08-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
42,2027-09-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
43,2027-10-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
44,2027-11-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
45,2027-12-26,24500000.0,183246.57534246575,183246.57534246575,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
46,2028-01-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
47,2028-02-26,24500000.0,0.0,124849.31506849315,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
48,2028-03-26,24500000.0,183246.57534246575,183246.57534246575,58397.260273972606,0,0,0,0.0,0.0,0.0,0.03
49,2028-04-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
50,2028-05-26,24500000.0,0.0,122835.61643835616,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
51,2028-06-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
52,2028-07-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
53,2028-08-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
54,2028-09-26,24500000.0,185260.27397260274,185260.27397260274,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
55,2028-10-26,24500000.0,0.0,60410.95890410958,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
56,2028-11-26,24500000.0,0.0,122835.61643835616,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
57,2028-12-26,24500000.0,183246.57534246575,183246.57534246575,60410.95890410958,0,0,0,0.0,0.0,0.0,0.03
58,2029-01-26,24500000.0,0.0,62424.65753424657,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
59,2029-02-26,24500000.0,0.0,124849.31506849315,62424.65753424657,0,0,0,0.0,0.0,0.0,0.03
60,2029-03-26,18870690.088087033,181232.87671232875,181232.87671232875,56383.561643835616,0,0,0,5629309.9119129665,0.22976775150665169,0.22976775150665169,0.03
61,2029-04-26,18870690.088087033,0.0,48081.48433402997,48081.48433402997,0,0,0,0.0,0.0,0.0,0.03
62,2029-05-26,18870690.088087033,0.0,94611.95304438155,46530.46871035158,0,0,0,0.0,0.0,0.0,0.03
63,2029-06-26,11876811.927896418,142693.43737841153,142693.43737841153,48081.48433402997,0,0,0,6993878.160190615,0.28546441470165773,0.28546441470165773,0.03
64,2029-07-26,11876811.927896418,0.0,29285.28968522404,29285.28968522404,0,0,0,0.0,0.0,0.0,0.03
65,2029-08-26,11876811.927896418,0.0,59546.755693288884,30261.466008064843,0,0,0,0.0,0.0,0.0,0.03
66,2029-09-26,2944280.6203236002,89808.22170135373,89808.22170135373,30261.466008064843,0,0,0,8932531.307572817,0.36459311459480886,0.36459311459480886,0.03
67,2029-10-26,2944280.6203236002,0.0,7259.870022715726,7259.870022715726,0,0,0,0.0,0.0,0.0,0.03
68,2029-11-26,2944280.6203236002,0.0,14761.73571285531,7501.865690139584,0,0,0,0.0,0.0,0.0,0.03
69,2029-12-26,0.0,22021.605735571036,22021.605735571036,7259.870022715726,0,0,0,2944280.6203236002,0.12017471919688165,0.12017471919688165,0.03
70,2030-01-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
71,2030-02-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
72,2030-03-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
73,2030-04-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
74,2030-05-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
75,2030-06-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
76,2030-07-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
77,2030-08-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
78,2030-09-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
79,2030-10-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
80,2030-11-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
81,2030-12-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
82,2031-01-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
83,2031-02-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
84,2031-03-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
85,2031-04-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
86,2031-05-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
87,2031-06-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
88,2031-07-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
89,2031-08-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
90,2031-09-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
91,2031-10-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
92,2031-11-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
93,2031-12-26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
