,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,28125000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0175
1,2024-04-26,28125000.0,0.0,41802.226027397264,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
2,2024-05-26,28125000.0,0.0,82255.99315068494,40453.767123287675,0,0,0,0.0,0.0,0.0,0.0175
3,2024-06-26,28125000.0,124058.2191780822,124058.2191780822,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
4,2024-07-26,28125000.0,0.0,40453.767123287675,40453.767123287675,0,0,0,0.0,0.0,0.0,0.0175
5,2024-08-26,28125000.0,0.0,82255.99315068494,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
6,2024-09-26,28125000.0,124058.2191780822,124058.2191780822,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
7,2024-10-26,28125000.0,0.0,40453.767123287675,40453.767123287675,0,0,0,0.0,0.0,0.0,0.0175
8,2024-11-26,28125000.0,0.0,82255.99315068494,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
9,2024-12-26,28125000.0,122709.76027397261,122709.76027397261,40453.767123287675,0,0,0,0.0,0.0,0.0,0.0175
10,2025-01-26,28125000.0,0.0,41802.226027397264,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
11,2025-02-26,28125000.0,0.0,83604.45205479453,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
12,2025-03-26,28125000.0,121361.30136986302,121361.30136986302,37756.849315068495,0,0,0,0.0,0.0,0.0,0.0175
13,2025-04-26,28125000.0,0.0,41802.226027397264,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
14,2025-05-26,28125000.0,0.0,82255.99315068494,40453.767123287675,0,0,0,0.0,0.0,0.0,0.0175
15,2025-06-26,28125000.0,124058.2191780822,124058.2191780822,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
16,2025-07-26,28125000.0,0.0,40453.767123287675,40453.767123287675,0,0,0,0.0,0.0,0.0,0.0175
17,2025-08-26,28125000.0,0.0,82255.99315068494,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
18,2025-09-26,28125000.0,124058.2191780822,124058.2191780822,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
19,2025-10-26,28125000.0,0.0,40453.767123287675,40453.767123287675,0,0,0,0.0,0.0,0.0,0.0175
20,2025-11-26,28125000.0,0.0,82255.99315068494,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
21,2025-12-26,28125000.0,122709.76027397261,122709.76027397261,40453.767123287675,0,0,0,0.0,0.0,0.0,0.0175
22,2026-01-26,28125000.0,0.0,41802.226027397264,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
23,2026-02-26,28125000.0,0.0,83604.45205479453,41802.226027397264,0,0,0,0.0,0.0,0.0,0.0175
24,2026-03-26,28125000.0,121361.30136986302,121361.30136986302,37756.849315068495,0,0,0,0.0,0.0,0.0,0.0175
