,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,231000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.00800001
1,2024-04-26,231000000.0,0.0,156953.62084931508,156953.62084931508,0,0,0,0.0,0.0,0.0,0.00800001
2,2024-05-26,231000000.0,0.0,308844.22167123284,151890.6008219178,0,0,0,0.0,0.0,0.0,0.00800001
3,2024-06-26,231000000.0,465797.8425205479,465797.8425205479,156953.62084931508,0,0,0,0.0,0.0,0.0,0.00800001
4,2024-07-26,231000000.0,0.0,151890.6008219178,151890.6008219178,0,0,0,0.0,0.0,0.0,0.00800001
5,2024-08-26,231000000.0,0.0,308844.22167123284,156953.62084931508,0,0,0,0.0,0.0,0.0,0.00800001
6,2024-09-26,217517907.34356087,465797.8425205479,465797.8425205479,156953.62084931508,0,0,0,13482092.656439127,0.05836403747376245,0.05836403747376245,0.00800001
7,2024-10-26,217517907.34356087,0.0,143025.6521036351,143025.6521036351,0,0,0,0.0,0.0,0.0,0.00800001
8,2024-11-26,217517907.34356087,0.0,290818.825944058,147793.17384042294,0,0,0,0.0,0.0,0.0,0.00800001
9,2024-12-26,195303172.15916437,433844.47804769315,433844.47804769315,143025.6521036351,0,0,0,22214735.18439651,0.09616768478093726,0.09616768478093726,0.00800001
10,2025-01-26,195303172.15916437,0.0,132699.30750535926,132699.30750535926,0,0,0,0.0,0.0,0.0,0.00800001
11,2025-02-26,195303172.15916437,0.0,265398.6150107185,132699.30750535926,0,0,0,0.0,0.0,0.0,0.00800001
12,2025-03-26,165931018.85075718,385256.05404781725,385256.05404781725,119857.43903709871,0,0,0,29372153.30840718,0.12715217882427352,0.12715217882427352,0.00800001
13,2025-04-26,165931018.85075718,0.0,112742.31264000994,112742.31264000994,0,0,0,0.0,0.0,0.0,0.00800001
14,2025-05-26,165931018.85075718,0.0,221847.77648518083,109105.4638451709,0,0,0,0.0,0.0,0.0,0.00800001
