,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,13500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
1,2024-04-26,13500000.0,0.0,76935.20547945205,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
2,2024-05-26,13500000.0,0.0,151388.6301369863,74453.42465753424,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
3,2024-06-26,13500000.0,228323.83561643836,228323.83561643836,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
4,2024-07-26,13500000.0,0.0,74453.42465753424,74453.42465753424,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
5,2024-08-26,13500000.0,0.0,151388.6301369863,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
6,2024-09-26,13500000.0,228323.83561643836,228323.83561643836,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
7,2024-10-26,13500000.0,0.0,74453.42465753424,74453.42465753424,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
8,2024-11-26,13500000.0,0.0,151388.6301369863,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
9,2024-12-26,13500000.0,225842.05479452055,225842.05479452055,74453.42465753424,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
10,2025-01-26,13500000.0,0.0,76935.20547945205,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
11,2025-02-26,13500000.0,0.0,153870.4109589041,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
12,2025-03-26,13500000.0,223360.27397260274,223360.27397260274,69489.86301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
13,2025-04-26,13500000.0,0.0,76935.20547945205,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
14,2025-05-26,13500000.0,0.0,151388.6301369863,74453.42465753424,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
15,2025-06-26,13500000.0,228323.83561643836,228323.83561643836,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
16,2025-07-26,13500000.0,0.0,74453.42465753424,74453.42465753424,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
17,2025-08-26,13500000.0,0.0,151388.6301369863,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
18,2025-09-26,13500000.0,228323.83561643836,228323.83561643836,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
19,2025-10-26,13500000.0,0.0,74453.42465753424,74453.42465753424,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
20,2025-11-26,13500000.0,0.0,151388.6301369863,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
21,2025-12-26,13500000.0,225842.05479452055,225842.05479452055,74453.42465753424,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
22,2026-01-26,13500000.0,0.0,76935.20547945205,76935.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.06709999999999999
