,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,28125000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.04870001
1,2024-04-26,28125000.0,0.0,116329.64717465754,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
2,2024-05-26,28125000.0,0.0,228906.72508561646,112577.0779109589,0,0,0,0.0,0.0,0.0,0.04870001
3,2024-06-26,28125000.0,345236.372260274,345236.372260274,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
4,2024-07-26,28125000.0,0.0,112577.0779109589,112577.0779109589,0,0,0,0.0,0.0,0.0,0.04870001
5,2024-08-26,28125000.0,0.0,228906.72508561646,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
6,2024-09-26,28125000.0,345236.372260274,345236.372260274,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
7,2024-10-26,28125000.0,0.0,112577.0779109589,112577.0779109589,0,0,0,0.0,0.0,0.0,0.04870001
8,2024-11-26,28125000.0,0.0,228906.72508561646,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
9,2024-12-26,28125000.0,341483.80299657537,341483.80299657537,112577.0779109589,0,0,0,0.0,0.0,0.0,0.04870001
10,2025-01-26,28125000.0,0.0,116329.64717465754,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
11,2025-02-26,28125000.0,0.0,232659.29434931508,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
12,2025-03-26,28125000.0,337731.2337328767,337731.2337328767,105071.93938356165,0,0,0,0.0,0.0,0.0,0.04870001
13,2025-04-26,28125000.0,0.0,116329.64717465754,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
14,2025-05-26,28125000.0,0.0,228906.72508561646,112577.0779109589,0,0,0,0.0,0.0,0.0,0.04870001
15,2025-06-26,28125000.0,345236.372260274,345236.372260274,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
16,2025-07-26,28125000.0,0.0,112577.0779109589,112577.0779109589,0,0,0,0.0,0.0,0.0,0.04870001
17,2025-08-26,28125000.0,0.0,228906.72508561646,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
18,2025-09-26,28125000.0,345236.372260274,345236.372260274,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
19,2025-10-26,28125000.0,0.0,112577.0779109589,112577.0779109589,0,0,0,0.0,0.0,0.0,0.04870001
20,2025-11-26,28125000.0,0.0,228906.72508561646,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
21,2025-12-26,28125000.0,341483.80299657537,341483.80299657537,112577.0779109589,0,0,0,0.0,0.0,0.0,0.04870001
22,2026-01-26,28125000.0,0.0,116329.64717465754,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
23,2026-02-26,28125000.0,0.0,232659.29434931508,116329.64717465754,0,0,0,0.0,0.0,0.0,0.04870001
