,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-09-12,18900000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
1,2024-09-15,18900000.0,0.0,217596.74999999997,217596.74999999997,0,0,0,0.0,0.0,0.0,0.06684999999999999
2,2024-10-15,0.0,277260.37499999994,277260.37499999994,59663.62499999999,0,0,0,18900000.0,1.0,1.0,0.06684999999999999
3,2024-11-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
4,2024-12-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
5,2025-01-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
6,2025-02-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
7,2025-03-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
8,2025-04-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
9,2025-05-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
10,2025-06-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
11,2025-07-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
12,2025-08-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
13,2025-09-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
14,2025-10-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.06684999999999999
