,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-09-12,12400000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
1,2024-09-15,12400000.0,0.0,44846.68802222222,44846.68802222222,0,0,0,0.0,0.0,0.0,0.02100001
2,2024-10-15,0.0,57143.36054444444,57143.36054444444,12296.672522222221,0,0,0,12400000.0,1.0,1.0,0.02100001
3,2024-11-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
4,2024-12-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
5,2025-01-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
6,2025-02-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
7,2025-03-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
8,2025-04-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
9,2025-05-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
10,2025-06-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
11,2025-07-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
12,2025-08-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
13,2025-09-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
14,2025-10-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.02100001
