,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-09-12,5100000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
1,2024-09-15,5100000.0,0.0,105970.91666666667,105970.91666666667,0,0,0,0.0,0.0,0.0,0.12065
2,2024-10-15,0.0,135027.45833333334,135027.45833333334,29056.541666666664,0,0,0,5100000.0,1.0,1.0,0.12065
3,2024-11-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
4,2024-12-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
5,2025-01-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
6,2025-02-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
7,2025-03-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
8,2025-04-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
9,2025-05-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
10,2025-06-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
11,2025-07-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
12,2025-08-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
13,2025-09-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
14,2025-10-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12065
