,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-09-12,20500000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
1,2024-09-15,20500000.0,0.0,288976.00752777775,288976.00752777775,0,0,0,0.0,0.0,0.0,0.08185001
2,2024-10-15,0.0,368211.3644305555,368211.3644305555,79235.35690277777,0,0,0,20500000.0,1.0,1.0,0.08185001
3,2024-11-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
4,2024-12-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
5,2025-01-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
6,2025-02-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
7,2025-03-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
8,2025-04-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
9,2025-05-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
10,2025-06-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
11,2025-07-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
12,2025-08-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
13,2025-09-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
14,2025-10-15,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08185001
