,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-09-12,28050000.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0
1,2024-09-15,28050000.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0
2,2024-10-15,8216340.182330966,1879355.8137057791,0.0,0.0,0,0,0,19833659.817669034,0,0,0
3,2024-11-15,8216340.182330966,0.0,0.0,0.0,0,0,0,0.0,0,0,0
4,2024-12-15,8216340.182330966,0.0,0.0,0.0,0,0,0,0.0,0,0,0
5,2025-01-15,8216340.182330966,1876362.2544311997,0.0,0.0,0,0,0,0.0,0,0,0
6,2025-02-15,8216340.182330966,0.0,0.0,0.0,0,0,0,0.0,0,0,0
7,2025-03-15,8216340.182330966,0.0,0.0,0.0,0,0,0,0.0,0,0,0
8,2025-04-15,8216340.182330966,162429.39377944445,0.0,0.0,0,0,0,0.0,0,0,0
9,2025-05-15,8216340.182330966,0.0,0.0,0.0,0,0,0,0.0,0,0,0
10,2025-06-15,8216340.182330966,0.0,0.0,0.0,0,0,0,0.0,0,0,0
11,2025-07-15,8216340.182330966,142511.770626,0.0,0.0,0,0,0,0.0,0,0,0
12,2025-08-15,8216340.182330966,0.0,0.0,0.0,0,0,0,0.0,0,0,0
13,2025-09-15,8216340.182330966,0.0,0.0,0.0,0,0,0,0.0,0,0,0
14,2025-10-15,8216340.182330966,113751.99999999999,0.0,0.0,0,0,0,0.0,0,0,0
