,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,24000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03
1,2024-04-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
2,2024-05-26,24000000.0,0.0,120328.76712328766,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
3,2024-06-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
4,2024-07-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
5,2024-08-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
6,2024-09-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
7,2024-10-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
8,2024-11-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
9,2024-12-26,24000000.0,179506.84931506848,179506.84931506848,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
10,2025-01-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
11,2025-02-26,24000000.0,0.0,122301.3698630137,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
12,2025-03-26,24000000.0,177534.24657534246,177534.24657534246,55232.87671232877,0,0,0,0.0,0.0,0.0,0.03
13,2025-04-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
14,2025-05-26,24000000.0,0.0,120328.76712328766,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
15,2025-06-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
16,2025-07-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
17,2025-08-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
18,2025-09-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
19,2025-10-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
20,2025-11-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
21,2025-12-26,24000000.0,179506.84931506848,179506.84931506848,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
22,2026-01-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
23,2026-02-26,24000000.0,0.0,122301.3698630137,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
24,2026-03-26,24000000.0,177534.24657534246,177534.24657534246,55232.87671232877,0,0,0,0.0,0.0,0.0,0.03
25,2026-04-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
26,2026-05-26,24000000.0,0.0,120328.76712328766,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
27,2026-06-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
28,2026-07-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
29,2026-08-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
30,2026-09-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
31,2026-10-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
32,2026-11-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
33,2026-12-26,24000000.0,179506.84931506848,179506.84931506848,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
34,2027-01-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
35,2027-02-26,24000000.0,0.0,122301.3698630137,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
36,2027-03-26,24000000.0,177534.24657534246,177534.24657534246,55232.87671232877,0,0,0,0.0,0.0,0.0,0.03
37,2027-04-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
38,2027-05-26,24000000.0,0.0,120328.76712328766,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
39,2027-06-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
40,2027-07-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
41,2027-08-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
42,2027-09-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
43,2027-10-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
44,2027-11-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
45,2027-12-26,24000000.0,179506.84931506848,179506.84931506848,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
46,2028-01-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
47,2028-02-26,24000000.0,0.0,122301.3698630137,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
48,2028-03-26,24000000.0,179506.8493150685,179506.8493150685,57205.4794520548,0,0,0,0.0,0.0,0.0,0.03
49,2028-04-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
50,2028-05-26,24000000.0,0.0,120328.76712328766,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
51,2028-06-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
52,2028-07-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
53,2028-08-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
54,2028-09-26,24000000.0,181479.4520547945,181479.4520547945,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
55,2028-10-26,24000000.0,0.0,59178.08219178081,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
56,2028-11-26,24000000.0,0.0,120328.76712328766,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
57,2028-12-26,24000000.0,179506.84931506848,179506.84931506848,59178.08219178081,0,0,0,0.0,0.0,0.0,0.03
58,2029-01-26,24000000.0,0.0,61150.68493150685,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
59,2029-02-26,24000000.0,0.0,122301.3698630137,61150.68493150685,0,0,0,0.0,0.0,0.0,0.03
60,2029-03-26,24000000.0,177534.24657534246,177534.24657534246,55232.87671232877,0,0,0,0.0,0.0,0.0,0.03
