,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,41000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.01800001
1,2024-04-26,41000000.0,0.0,62679.486876712326,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
2,2024-05-26,41000000.0,0.0,123337.0548219178,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
3,2024-06-26,41000000.0,186016.54169863014,186016.54169863014,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
4,2024-07-26,41000000.0,0.0,60657.567945205476,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
5,2024-08-26,41000000.0,0.0,123337.0548219178,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
6,2024-09-26,41000000.0,186016.54169863014,186016.54169863014,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
7,2024-10-26,41000000.0,0.0,60657.567945205476,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
8,2024-11-26,41000000.0,0.0,123337.0548219178,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
9,2024-12-26,41000000.0,183994.62276712328,183994.62276712328,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
10,2025-01-26,41000000.0,0.0,62679.486876712326,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
11,2025-02-26,41000000.0,0.0,125358.97375342465,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
12,2025-03-26,41000000.0,181972.70383561644,181972.70383561644,56613.73008219178,0,0,0,0.0,0.0,0.0,0.01800001
13,2025-04-26,41000000.0,0.0,62679.486876712326,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
14,2025-05-26,41000000.0,0.0,123337.0548219178,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
15,2025-06-26,41000000.0,186016.54169863014,186016.54169863014,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
16,2025-07-26,41000000.0,0.0,60657.567945205476,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
17,2025-08-26,41000000.0,0.0,123337.0548219178,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
18,2025-09-26,41000000.0,186016.54169863014,186016.54169863014,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
19,2025-10-26,41000000.0,0.0,60657.567945205476,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
20,2025-11-26,41000000.0,0.0,123337.0548219178,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
21,2025-12-26,41000000.0,183994.62276712328,183994.62276712328,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
22,2026-01-26,41000000.0,0.0,62679.486876712326,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
23,2026-02-26,41000000.0,0.0,125358.97375342465,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
24,2026-03-26,41000000.0,181972.70383561644,181972.70383561644,56613.73008219178,0,0,0,0.0,0.0,0.0,0.01800001
25,2026-04-26,41000000.0,0.0,62679.486876712326,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
26,2026-05-26,41000000.0,0.0,123337.0548219178,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
27,2026-06-26,41000000.0,186016.54169863014,186016.54169863014,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
28,2026-07-26,41000000.0,0.0,60657.567945205476,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
29,2026-08-26,41000000.0,0.0,123337.0548219178,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
30,2026-09-26,41000000.0,186016.54169863014,186016.54169863014,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
31,2026-10-26,41000000.0,0.0,60657.567945205476,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
32,2026-11-26,41000000.0,0.0,123337.0548219178,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
33,2026-12-26,41000000.0,183994.62276712328,183994.62276712328,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
34,2027-01-26,41000000.0,0.0,62679.486876712326,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
35,2027-02-26,41000000.0,0.0,125358.97375342465,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
36,2027-03-26,41000000.0,181972.70383561644,181972.70383561644,56613.73008219178,0,0,0,0.0,0.0,0.0,0.01800001
37,2027-04-26,41000000.0,0.0,62679.486876712326,62679.486876712326,0,0,0,0.0,0.0,0.0,0.01800001
38,2027-05-26,41000000.0,0.0,123337.0548219178,60657.567945205476,0,0,0,0.0,0.0,0.0,0.01800001
