,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,215000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.009399999999999999
1,2024-04-26,215000000.0,0.0,171646.57534246572,171646.57534246572,0,0,0,0.0,0.0,0.0,0.009399999999999999
2,2024-05-26,215000000.0,0.0,337756.1643835616,166109.58904109584,0,0,0,0.0,0.0,0.0,0.009399999999999999
3,2024-06-26,215000000.0,509402.7397260273,509402.7397260273,171646.57534246572,0,0,0,0.0,0.0,0.0,0.009399999999999999
4,2024-07-26,215000000.0,0.0,166109.58904109584,166109.58904109584,0,0,0,0.0,0.0,0.0,0.009399999999999999
5,2024-08-26,215000000.0,0.0,337756.1643835616,171646.57534246572,0,0,0,0.0,0.0,0.0,0.009399999999999999
6,2024-09-26,215000000.0,509402.7397260273,509402.7397260273,171646.57534246572,0,0,0,0.0,0.0,0.0,0.009399999999999999
7,2024-10-26,215000000.0,0.0,166109.58904109584,166109.58904109584,0,0,0,0.0,0.0,0.0,0.009399999999999999
8,2024-11-26,215000000.0,0.0,337756.1643835616,171646.57534246572,0,0,0,0.0,0.0,0.0,0.009399999999999999
9,2024-12-26,215000000.0,503865.7534246574,503865.7534246574,166109.58904109584,0,0,0,0.0,0.0,0.0,0.009399999999999999
10,2025-01-26,215000000.0,0.0,171646.57534246572,171646.57534246572,0,0,0,0.0,0.0,0.0,0.009399999999999999
11,2025-02-26,215000000.0,0.0,343293.15068493143,171646.57534246572,0,0,0,0.0,0.0,0.0,0.009399999999999999
12,2025-03-26,215000000.0,498328.76712328754,498328.76712328754,155035.61643835614,0,0,0,0.0,0.0,0.0,0.009399999999999999
13,2025-04-26,215000000.0,0.0,171646.57534246572,171646.57534246572,0,0,0,0.0,0.0,0.0,0.009399999999999999
14,2025-05-26,215000000.0,0.0,337756.1643835616,166109.58904109584,0,0,0,0.0,0.0,0.0,0.009399999999999999
