,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,12800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
1,2024-04-26,12800000.0,0.0,107951.34246575342,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
2,2024-05-26,12800000.0,0.0,212420.38356164383,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
3,2024-06-26,12800000.0,320371.72602739726,320371.72602739726,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
4,2024-07-26,12800000.0,0.0,104469.0410958904,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
5,2024-08-26,12800000.0,0.0,212420.38356164383,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
6,2024-09-26,12800000.0,320371.72602739726,320371.72602739726,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
7,2024-10-26,12800000.0,0.0,104469.0410958904,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
8,2024-11-26,12800000.0,0.0,212420.38356164383,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
9,2024-12-26,12800000.0,316889.4246575342,316889.4246575342,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
10,2025-01-26,12800000.0,0.0,107951.34246575342,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
11,2025-02-26,12800000.0,0.0,215902.68493150684,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
12,2025-03-26,12800000.0,313407.12328767125,313407.12328767125,97504.43835616439,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
13,2025-04-26,12800000.0,0.0,107951.34246575342,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
14,2025-05-26,12800000.0,0.0,212420.38356164383,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
15,2025-06-26,12800000.0,320371.72602739726,320371.72602739726,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
16,2025-07-26,12800000.0,0.0,104469.0410958904,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
17,2025-08-26,12800000.0,0.0,212420.38356164383,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
18,2025-09-26,12800000.0,320371.72602739726,320371.72602739726,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
19,2025-10-26,12800000.0,0.0,104469.0410958904,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
20,2025-11-26,12800000.0,0.0,212420.38356164383,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
21,2025-12-26,12800000.0,316889.4246575342,316889.4246575342,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
22,2026-01-26,12800000.0,0.0,107951.34246575342,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
23,2026-02-26,12800000.0,0.0,215902.68493150684,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
24,2026-03-26,12800000.0,313407.12328767125,313407.12328767125,97504.43835616439,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
25,2026-04-26,12800000.0,0.0,107951.34246575342,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
26,2026-05-26,12800000.0,0.0,212420.38356164383,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
27,2026-06-26,12800000.0,320371.72602739726,320371.72602739726,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
28,2026-07-26,12800000.0,0.0,104469.0410958904,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
29,2026-08-26,12800000.0,0.0,212420.38356164383,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
30,2026-09-26,12800000.0,320371.72602739726,320371.72602739726,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
31,2026-10-26,12800000.0,0.0,104469.0410958904,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
32,2026-11-26,12800000.0,0.0,212420.38356164383,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
33,2026-12-26,12800000.0,316889.4246575342,316889.4246575342,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
34,2027-01-26,12800000.0,0.0,107951.34246575342,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
35,2027-02-26,12800000.0,0.0,215902.68493150684,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
36,2027-03-26,12800000.0,313407.12328767125,313407.12328767125,97504.43835616439,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
37,2027-04-26,12800000.0,0.0,107951.34246575342,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
38,2027-05-26,12800000.0,0.0,212420.38356164383,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
39,2027-06-26,12800000.0,320371.72602739726,320371.72602739726,107951.34246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
40,2027-07-26,12800000.0,0.0,104469.0410958904,104469.0410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0993
