,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,19200000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.07150001
1,2024-04-26,19200000.0,0.0,116593.98890958905,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
2,2024-05-26,19200000.0,0.0,229426.88140273973,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
3,2024-06-26,19200000.0,346020.8703123288,346020.8703123288,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
4,2024-07-26,19200000.0,0.0,112832.89249315069,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
5,2024-08-26,19200000.0,0.0,229426.88140273973,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
6,2024-09-26,19200000.0,346020.8703123288,346020.8703123288,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
7,2024-10-26,19200000.0,0.0,112832.89249315069,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
8,2024-11-26,19200000.0,0.0,229426.88140273973,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
9,2024-12-26,19200000.0,342259.77389589045,342259.77389589045,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
10,2025-01-26,19200000.0,0.0,116593.98890958905,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
11,2025-02-26,19200000.0,0.0,233187.9778191781,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
12,2025-03-26,19200000.0,338498.6774794521,338498.6774794521,105310.69966027398,0,0,0,0.0,0.0,0.0,0.07150001
13,2025-04-26,19200000.0,0.0,116593.98890958905,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
14,2025-05-26,19200000.0,0.0,229426.88140273973,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
15,2025-06-26,19200000.0,346020.8703123288,346020.8703123288,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
16,2025-07-26,19200000.0,0.0,112832.89249315069,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
17,2025-08-26,19200000.0,0.0,229426.88140273973,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
18,2025-09-26,19200000.0,346020.8703123288,346020.8703123288,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
19,2025-10-26,19200000.0,0.0,112832.89249315069,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
20,2025-11-26,19200000.0,0.0,229426.88140273973,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
21,2025-12-26,19200000.0,342259.77389589045,342259.77389589045,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
22,2026-01-26,19200000.0,0.0,116593.98890958905,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
23,2026-02-26,19200000.0,0.0,233187.9778191781,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
24,2026-03-26,19200000.0,338498.6774794521,338498.6774794521,105310.69966027398,0,0,0,0.0,0.0,0.0,0.07150001
25,2026-04-26,19200000.0,0.0,116593.98890958905,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
26,2026-05-26,19200000.0,0.0,229426.88140273973,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
27,2026-06-26,19200000.0,346020.8703123288,346020.8703123288,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
28,2026-07-26,19200000.0,0.0,112832.89249315069,112832.89249315069,0,0,0,0.0,0.0,0.0,0.07150001
29,2026-08-26,19200000.0,0.0,229426.88140273973,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
30,2026-09-26,19200000.0,346020.8703123288,346020.8703123288,116593.98890958905,0,0,0,0.0,0.0,0.0,0.07150001
