,date,balance,interest_paid,interest_accrued,interest_accrued_over_period,deferred_interest,deferred_interest_paid,deferred_interest_accrued_over_period,principal_paid,pct_principal,pct_amortization,coupon
0,2024-03-26,29000000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.04
1,2024-04-26,29000000.0,0.0,98520.54794520547,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
2,2024-05-26,29000000.0,0.0,193863.01369863012,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
3,2024-06-26,29000000.0,292383.5616438356,292383.5616438356,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
4,2024-07-26,29000000.0,0.0,95342.46575342465,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
5,2024-08-26,29000000.0,0.0,193863.01369863012,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
6,2024-09-26,29000000.0,292383.5616438356,292383.5616438356,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
7,2024-10-26,29000000.0,0.0,95342.46575342465,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
8,2024-11-26,29000000.0,0.0,193863.01369863012,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
9,2024-12-26,29000000.0,289205.4794520548,289205.4794520548,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
10,2025-01-26,29000000.0,0.0,98520.54794520547,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
11,2025-02-26,29000000.0,0.0,197041.09589041094,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
12,2025-03-26,29000000.0,286027.397260274,286027.397260274,88986.30136986302,0,0,0,0.0,0.0,0.0,0.04
13,2025-04-26,29000000.0,0.0,98520.54794520547,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
14,2025-05-26,29000000.0,0.0,193863.01369863012,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
15,2025-06-26,29000000.0,292383.5616438356,292383.5616438356,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
16,2025-07-26,29000000.0,0.0,95342.46575342465,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
17,2025-08-26,29000000.0,0.0,193863.01369863012,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
18,2025-09-26,29000000.0,292383.5616438356,292383.5616438356,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
19,2025-10-26,29000000.0,0.0,95342.46575342465,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
20,2025-11-26,29000000.0,0.0,193863.01369863012,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
21,2025-12-26,29000000.0,289205.4794520548,289205.4794520548,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
22,2026-01-26,29000000.0,0.0,98520.54794520547,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
23,2026-02-26,29000000.0,0.0,197041.09589041094,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
24,2026-03-26,29000000.0,286027.397260274,286027.397260274,88986.30136986302,0,0,0,0.0,0.0,0.0,0.04
25,2026-04-26,29000000.0,0.0,98520.54794520547,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
26,2026-05-26,29000000.0,0.0,193863.01369863012,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
27,2026-06-26,29000000.0,292383.5616438356,292383.5616438356,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
28,2026-07-26,29000000.0,0.0,95342.46575342465,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
29,2026-08-26,29000000.0,0.0,193863.01369863012,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
30,2026-09-26,29000000.0,292383.5616438356,292383.5616438356,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
31,2026-10-26,29000000.0,0.0,95342.46575342465,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
32,2026-11-26,29000000.0,0.0,193863.01369863012,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
33,2026-12-26,29000000.0,289205.4794520548,289205.4794520548,95342.46575342465,0,0,0,0.0,0.0,0.0,0.04
34,2027-01-26,29000000.0,0.0,98520.54794520547,98520.54794520547,0,0,0,0.0,0.0,0.0,0.04
